candidate_uid,candidate_idx,search_group,target,seed,predicted_target,matched_target,predicted_objective,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,lr_ff,lr_fb,lr_lat,lr_pv,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,full_familiar_expert2,occlusion_familiar_expert2,full_novel_expert2,occlusion_novel_expert2
standard::1,1,standard,un_FB,11,un_FB,True,1.524343158157171,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.03,0.003,0.01,0.0025,0.0,0.00012130649884056766,0.0,0.00027009294426534326,0.0,0.006216314341872931,6.224513526137399e-11,0.0009806417627260088,4.62031860024581e-06,0.02640801705420017,0.0,0.01936606834642589
standard::1,1,standard,un_FB,23,un_FB,True,1.5315380246151098,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.03,0.003,0.01,0.0025,0.0002468637368480131,0.00019934446791012306,2.325751552456623e-09,0.00011156315558764618,0.0,0.006249147246126086,5.792808167370822e-07,0.001870271988445893,2.032832941978313e-08,0.028315618727356197,0.00018676579420571216,0.015596393402665854
standard::1,1,standard,un_FB,37,un_FB,True,1.0017792743987868,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.03,0.003,0.01,0.0025,2.9489666701465465e-06,0.0004800514077942353,0.0,3.6905398360431717e-06,1.6094711208225478e-08,0.003226698108483106,0.0,0.0005503070315171499,0.0001476765854022233,0.02411695746704936,3.722854056281699e-11,0.021042756969109178
standard::84,84,standard,un_FB,11,un_FB,True,0.9519623821258231,0.18784983456134796,0.009331334382295609,0.013560216873884201,0.01289913710206747,0.25176259875297546,2.0,0.2695625424385071,1.204630970954895,0.052928581833839417,0.0021590483374893665,0.007213363889604807,0.0021755651105195284,0.0006139730896393303,0.00023474348854506387,3.295274486845301e-05,0.0006226850498933345,0.001382117801995264,0.004827530973125249,3.0811911710770803e-05,0.0017636527423746883,0.0031606844218913465,0.02490897267125547,2.0707773416006602e-07,0.017582250060513616
standard::84,84,standard,un_FB,23,un_FB,True,0.8816902414428268,0.18784983456134796,0.009331334382295609,0.013560216873884201,0.01289913710206747,0.25176259875297546,2.0,0.2695625424385071,1.204630970954895,0.052928581833839417,0.0021590483374893665,0.007213363889604807,0.0021755651105195284,0.001056761055951938,0.0004174914240138605,2.886193279039162e-07,0.0005695464948075824,0.0008631822802271927,0.005055569473188371,6.955806347832549e-05,0.0018207407498266547,0.005932244088035077,0.02466893712989986,0.000578390687587671,0.013767529837787151
standard::84,84,standard,un_FB,37,un_FB,True,1.3736207293201566,0.18784983456134796,0.009331334382295609,0.013560216873884201,0.01289913710206747,0.25176259875297546,2.0,0.2695625424385071,1.204630970954895,0.052928581833839417,0.0021590483374893665,0.007213363889604807,0.0021755651105195284,1.616929198462458e-05,0.0013825162837747484,2.987312505808859e-07,0.00014933571164874593,0.0004375343763967976,0.0033354905259329825,1.2992664588651337e-08,0.0015776685089804233,0.0057779205031692985,0.025442856084555387,2.9456995946475216e-06,0.016517250100150704
ff_un::2,2,ff_un,un_FB,11,FF_FB_narrow_familiar,False,2.8794905631568555,0.00011075260474132329,0.0168250655144194,0.560849159468404,0.02063570648939486,0.0005849117001374398,0.31955301643818385,1.3344080092043011,0.0002610091298150607,0.00015940984143081937,6.700425411433224e-05,0.0007512716282407047,0.005832056540361451,0.098007002286613,0.1021696450188756,0.0026079710980411617,0.007013385021127761,0.08873450048267842,0.10233372114598752,0.001418958106660284,0.0062242225278168915,0.0886591961607337,0.10241831839084625,0.0015718607581220567,0.006837018299847841
ff_un::2,2,ff_un,un_FB,23,FF_FB_narrow_familiar,False,2.9517254023919444,0.00011075260474132329,0.0168250655144194,0.560849159468404,0.02063570648939486,0.0005849117001374398,0.31955301643818385,1.3344080092043011,0.0002610091298150607,0.00015940984143081937,6.700425411433224e-05,0.0007512716282407047,0.005832056540361451,0.10224334951490163,0.10654445812106132,0.0036017671576701106,0.006720803258940577,0.09631202761083842,0.10686258301138878,0.00278780625667423,0.006910728616639971,0.09331720191985368,0.10710992626845836,0.004107760649640113,0.007040243106894195
ff_un::2,2,ff_un,un_FB,37,FF_FB_narrow_familiar,False,2.981916494183987,0.00011075260474132329,0.0168250655144194,0.560849159468404,0.02063570648939486,0.0005849117001374398,0.31955301643818385,1.3344080092043011,0.0002610091298150607,0.00015940984143081937,6.700425411433224e-05,0.0007512716282407047,0.005832056540361451,0.10189059898257255,0.10577816404402256,0.005346088483929634,0.008669325592927634,0.09661841075867414,0.10482819676399231,0.003770844475366175,0.007503206306137144,0.09371024090796709,0.10504783894866705,0.004190737218596041,0.008433284866623581
ff_un::6,6,ff_un,un_FB,11,un_FB,True,0.7588923259752384,0.002216060362038127,0.8676986131279403,0.005334504463905729,0.0013777956027186296,0.011253391025873789,1.2845515496448527,0.05150160578329997,0.2052208086026106,0.06834981566735407,0.0010607347140982207,0.0025073428099611247,0.0037434946651481982,0.0011849259870359674,0.0003044273056730162,0.009112452040426433,0.000988291291287169,0.0009896165109239518,0.0023810420476365834,0.011246345215477049,0.0012522387027274818,0.003991647576913238,0.01358421235345304,0.013122108415700495,0.009757354203611613
ff_un::6,6,ff_un,un_FB,23,un_FB,True,1.4217370982646826,0.002216060362038127,0.8676986131279403,0.005334504463905729,0.0013777956027186296,0.011253391025873789,1.2845515496448527,0.05150160578329997,0.2052208086026106,0.06834981566735407,0.0010607347140982207,0.0025073428099611247,0.0037434946651481982,0.001340267391060479,0.0009330030705314129,0.013747760979458689,0.00042447620799066497,0.0019235460786148906,0.002224281651433557,0.009301984473131597,0.0007510252777137794,0.0024938972725067287,0.013638601289130747,0.01539718199055642,0.007454984029754997
ff_un::6,6,ff_un,un_FB,37,un_FB,True,0.6704818634168341,0.002216060362038127,0.8676986131279403,0.005334504463905729,0.0013777956027186296,0.011253391025873789,1.2845515496448527,0.05150160578329997,0.2052208086026106,0.06834981566735407,0.0010607347140982207,0.0025073428099611247,0.0037434946651481982,0.0023256904154550285,0.0016840073803905398,0.011095308233052492,0.0005107056800625287,0.001303584859124385,0.001999118918320164,0.009211998013779522,0.0015553402481600642,0.005219609674531967,0.014622414065524936,0.012031186977401376,0.008345285709947348
ff_un::19,19,ff_un,un_FB,11,un_FB,True,0.940561116561851,0.16770393152634447,0.0028461567071731086,0.0007995646474486984,0.05620163129540447,0.657537988316847,0.02759980583771527,1.6496121468429603,0.002294106580863313,0.03703815949070127,0.0012185824858038385,0.010003716922411324,0.00034177481507280963,0.0006028821342624723,0.0012546273384941742,0.0013386088859988377,0.006682523502968251,0.00026128708050237036,0.0045097820693627,0.003761260735336691,0.01186772109940648,0.0010130081122042612,0.015751783456653356,0.009046520967967809,0.02024699063040316
ff_un::19,19,ff_un,un_FB,23,un_FB,True,0.5892829154036802,0.16770393152634447,0.0028461567071731086,0.0007995646474486984,0.05620163129540447,0.657537988316847,0.02759980583771527,1.6496121468429603,0.002294106580863313,0.03703815949070127,0.0012185824858038385,0.010003716922411324,0.00034177481507280963,0.00104849182171165,0.0011880714358994738,0.00046623730959254316,0.008410986443050206,0.0004307159972086083,0.004485337738879025,0.0005251930590020493,0.010822878824546934,0.0009793938312213867,0.01735625830478966,0.009067406225949527,0.019343698304146527
ff_un::19,19,ff_un,un_FB,37,un_FB,True,0.573182790486191,0.16770393152634447,0.0028461567071731086,0.0007995646474486984,0.05620163129540447,0.657537988316847,0.02759980583771527,1.6496121468429603,0.002294106580863313,0.03703815949070127,0.0012185824858038385,0.010003716922411324,0.00034177481507280963,1.0693387571336643e-05,0.0022898938041180372,0.0019687129446538166,0.007411685865372419,0.00046083577180979776,0.0031994965742342175,0.0024632990651298316,0.008692028350196779,0.0009625457809306681,0.014680453715845943,0.011736881895922124,0.021925666183233262
ff_un::26,26,ff_un,un_FB,11,un_FB,True,0.7236269441826657,0.00045163503431435456,0.056804354322021855,0.002638135790240332,0.01115428422073381,1.7125534264914528,0.002029037952426363,0.013839981339765463,0.0006510687015615272,0.009495235217780184,0.0007494715658961773,0.03252278764576798,0.004940512896984663,0.00037128560288692827,0.0009537140169413761,9.348159292130732e-05,0.0007356417190749198,2.3503715101469425e-05,0.0023757186136208475,0.00224503114586696,0.0031508775136899203,0.00010555147273407783,0.006964798457920552,0.0026822716812603177,0.007128949020989239
ff_un::26,26,ff_un,un_FB,23,un_FB,True,0.30124284882685537,0.00045163503431435456,0.056804354322021855,0.002638135790240332,0.01115428422073381,1.7125534264914528,0.002029037952426363,0.013839981339765463,0.0006510687015615272,0.009495235217780184,0.0007494715658961773,0.03252278764576798,0.004940512896984663,0.00025191980457748284,0.0005010195876820944,0.00015335756215790753,0.0011422939365729689,2.345810034967144e-05,0.0023148179112467914,0.0007066768725053407,0.0011767459713155405,0.00028908384483656847,0.007959921355359256,0.0024065276607871055,0.005609815183561295
