candidate_idx,search_group,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,assigned_target,assigned_objective,assigned_rmse,assigned_mismatch_penalty,assigned_transition_bonus,second_target,second_objective,objective_gap,familiar,novel,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,objective__FF_FB_broad,rmse__FF_FB_broad,mismatch__FF_FB_broad,objective__FF_un,rmse__FF_un,mismatch__FF_un,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,mismatch__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,mismatch__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,mismatch__un_FB,objective__FB_FB,rmse__FB_FB,mismatch__FB_FB,target
1,standard,True,True,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,6.296139059003281e-07,2.7588069964205414e-06,2.351709955661363e-08,0.00013777467347608763,8.12987944793046e-06,0.005035518512401419,7.718835284625432e-05,0.0026255146808883485,un_FB,-0.18439686665247546,0.0,0,3.687937333049509,FF_FB_narrow_familiar,1.142225944879335,1.3266228115318106,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.755201124463678,1.1506621837615967,3,3.23238673142016,1.6278477907180786,3,1.142225944879335,0.7266338467597961,1,3.6053950744255503,2.6008450984954834,2,-0.18439686665247546,0.0,0,3.3323121107549536,1.147915244102478,4,un_FB
1650,standard,True,True,0.015943745151162148,0.008569834753870964,0.014703379943966866,0.012808475643396378,1.6898553371429443,1.615781307220459,0.7220494151115417,2.0,5.150231451978016e-07,3.310382524546185e-06,6.9409043707147296e-12,0.00015264486937667244,7.575567260194779e-06,0.00511081523145549,6.524950305599001e-05,0.002513572553289123,un_FB,-0.18251240449303058,0.0019269094336777925,0,3.688786278534167,FF_FB_narrow_familiar,1.1422214052289235,1.324733809721954,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7556983001790685,1.150815725326538,3,3.232835746582572,1.6279531717300415,3,1.1422214052289235,0.72667396068573,1,3.606038938101989,2.6011431217193604,2,-0.18251240449303058,0.0019269094336777925,0,3.33258975795747,1.1481504440307617,4,un_FB
1659,standard,True,True,0.0165158249437809,0.006622071843594313,0.007664108648896217,0.0038705577608197927,1.2620620727539062,1.399366855621338,1.0600425004959106,2.0,7.302238251109353e-07,8.119835117289161e-06,5.542169791243149e-08,9.266846207841202e-05,8.779226260458017e-06,0.005144139746941316,8.502281504358204e-05,0.0025616770925504777,un_FB,-0.18248948016909028,0.0018973095575347543,0,3.6877357945325007,FF_FB_narrow_familiar,1.1422198229014422,1.3247093030705326,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7554688914695173,1.150505542755127,3,3.2327967151084334,1.627833366394043,3,1.1422198229014422,0.7266390919685364,1,3.6059041074738047,2.6009082794189453,2,-0.18248948016909028,0.0018973095575347543,0,3.3323406576389174,1.1479538679122925,4,un_FB
1625,standard,True,True,0.004668758250772953,0.005074461456388235,0.010933938436210155,0.010571501217782497,1.5330191850662231,1.8025554418563843,1.113187313079834,1.2534708976745605,6.063683630467646e-07,2.779984542655711e-06,8.182485864797565e-09,0.00012883811018582492,7.582566106142016e-06,0.00495742195926141,6.1600601278163e-05,0.0024474988832177283,un_FB,-0.18216605896114496,0.0027608631644397974,0,3.698538442511695,FF_FB_narrow_familiar,1.1418071461724812,1.3239732051336262,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7561682625276327,1.1514116525650024,3,3.2326560183030844,1.627899408340454,3,1.1418071461724812,0.7267451882362366,1,3.606247975491011,2.60148024559021,2,-0.18216605896114496,0.0027608631644397974,0,3.3348149607608386,1.149888038635254,4,un_FB
1647,standard,True,True,0.005024964455515146,0.007525823079049587,0.004323869943618774,0.008899128995835781,2.0,1.294271469116211,0.7151617407798767,1.3084440231323242,4.628564648593662e-07,1.2930440971577657e-06,8.80153184854247e-12,8.835560219040417e-05,6.657917127010175e-06,0.005030934216726261,9.032569928422163e-05,0.002400547802487078,un_FB,-0.18169429402925583,0.0032634446397423744,0,3.6991547733799637,FF_FB_narrow_familiar,1.1417959268545033,1.3234902208837591,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7562158472934106,1.1511343717575073,3,3.2327961094775537,1.6277146339416504,3,1.1417959268545033,0.7267588376998901,1,3.6064000002971306,2.601313352584839,2,-0.18169429402925583,0.0032634446397423744,0,3.3350057561708293,1.150048017501831,4,un_FB
1624,standard,True,True,0.0044181193225085735,0.008663247339427471,0.012740877456963062,0.011811565607786179,1.2601956129074097,1.5518970489501953,1.8384742736816406,2.0,7.430077221926013e-07,5.611802572502711e-06,5.818236079591088e-08,0.00018070060474807784,8.876042706636629e-06,0.004969165361641595,7.679285234492757e-05,0.002799634534555177,un_FB,-0.18138526050391876,0.00270451488904655,0,3.681795507859306,FF_FB_narrow_familiar,1.1424533172336282,1.323838577737547,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.754359446025323,1.150393009185791,3,3.2318113665346613,1.6278449296951294,3,1.1424533172336282,0.7265655398368835,1,3.604417703706194,2.600428819656372,2,-0.18138526050391876,0.00270451488904655,0,3.330794210741476,1.1467044353485107,4,un_FB
1622,standard,True,True,0.021828453987836838,0.013540058396756649,0.010636312887072563,0.011603009887039661,2.0,1.4901539087295532,1.0015901327133179,1.512305736541748,4.41365406800287e-07,2.2336550131285547e-06,6.772163293469399e-12,0.00011420591493636797,6.83321687612685e-06,0.0049306564556900415,6.943844005036226e-05,0.002313216686404,un_FB,-0.18060725052535534,0.004672124050557613,0,3.705587491518259,FF_FB_narrow_familiar,1.1415421136822999,1.3221493642076552,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.756745173997916,1.1517431735992432,3,3.232809856004752,1.627807855606079,3,1.1415421136822999,0.7268304228782654,1,3.606764646719165,2.6017537117004395,2,-0.18060725052535534,0.004672124050557613,0,3.336497431254685,1.151218056678772,4,un_FB
1630,standard,True,True,0.0035933521576225758,0.00833610724657774,0.007300799246877432,0.010009023360908031,2.0,0.9185932278633118,2.0,1.280841588973999,5.16951742805342e-07,1.8301751855650158e-06,1.1900326006376281e-11,0.00011790216721389395,7.106098648061258e-06,0.005268690325707818,0.00011149346773891012,0.0026989524892997,un_FB,-0.18032280066444267,0.00350244902074337,0,3.6765049937037206,FF_FB_narrow_familiar,1.1427243863821075,1.32304718704655,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7545398558824266,1.1496398448944092,3,3.2326200093476976,1.6277199983596802,3,1.1427243863821075,0.7265569567680359,1,3.6051082231835108,2.600200891494751,2,-0.18032280066444267,0.00350244902074337,0,3.32972740651502,1.145902156829834,4,un_FB
1604,standard,True,True,0.00587388826534152,0.004380511119961739,0.006217302288860083,0.00905555672943592,1.5464012622833252,1.6854641437530518,2.0,0.6208734512329102,6.12509552529635e-07,1.9603740772330033e-06,6.021438342385111e-09,0.00011289546763843342,7.598837944063537e-06,0.004702691493245463,6.996981525541439e-05,0.0024161615670891478,un_FB,-0.17995988644515631,0.005572695750743151,0,3.710651643917989,FF_FB_narrow_familiar,1.1412978073945226,1.321257693839679,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7564288908477144,1.152085542678833,3,3.232058935784848,1.6277155876159668,3,1.1412978073945226,0.726838231086731,1,3.6060314684432666,2.601680278778076,2,-0.17995988644515631,0.005572695750743151,0,3.3375363473021005,1.1520037651062012,4,un_FB
1580,standard,True,True,0.017904235050082207,0.011928793042898178,0.021520813927054405,0.016246315091848373,1.5297280550003052,2.0,1.0543252229690552,1.4575262069702148,5.536534878558541e-07,4.693255446378923e-06,1.9935574987102928e-08,0.00019435877751069106,8.026173876866475e-06,0.005303400398891729,3.9624931105208816e-05,0.00261542136092127,un_FB,-0.1798532647765228,0.003910987637937069,0,3.675285048289197,FF_FB_narrow_familiar,1.1428002169801363,1.322653481756659,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7552499849762135,1.1502721309661865,3,3.2332375128235036,1.6282596588134766,3,1.1428002169801363,0.7265832424163818,1,3.6059611732354258,2.6009645462036133,2,-0.1798532647765228,0.003910987637937069,0,3.3295004699132393,1.1457362174987793,4,un_FB
