search_group,candidate_idx,target,backtest_success_rate,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1
standard,17,un_un,0.3333333333333333,0.00979570485651493,0.004743077326565981,0.006782907526940107,0.01443643867969513,2.0,2.0,1.5487160682678223,1.4412829875946045
standard,1,un_FB,1.0,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5
standard,15,un_FB,1.0,0.009682604111731052,0.003273017704486847,0.008560115471482277,0.01691216602921486,1.6065943241119385,1.7105469703674316,2.0,0.5716235041618347
standard,16,un_FB,1.0,0.008058342151343822,0.0064214118756353855,0.005305658560246229,0.015001710504293442,1.067427158355713,1.3639261722564697,1.3211414813995361,0.7617319226264954
standard,18,un_FB,1.0,0.009228108450770378,0.010932032950222492,0.009587985463440418,0.013514775782823563,0.7252800464630127,2.0,1.2034142017364502,0.4324086308479309
standard,0,FF_FB_broad,1.0,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3
standard,19,FF_FB_broad,1.0,0.4269775450229645,0.30671364068984985,0.043760981410741806,0.05253808572888374,0.30484738945961,0.20145101845264435,0.2154974341392517,0.4670303761959076
standard,4,FF_FB_narrow_familiar,1.0,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5
standard,13,FF_FB_narrow_familiar,1.0,0.4281701147556305,0.00016109658463392407,0.00012733765470329672,0.042887844145298004,0.010194380767643452,0.0052387830801308155,0.008311869576573372,0.2136784791946411
standard,22,FF_FB_narrow_familiar,1.0,1.2232346534729004,0.005727927666157484,0.019861357286572456,0.009680446237325668,0.30938759446144104,0.7193135619163513,0.46244069933891296,0.9874066710472107
standard,21,FF_FB_narrow_familiar,1.0,2.0,0.015371502377092838,0.011346789076924324,0.010934527032077312,0.23224326968193054,1.914414882659912,0.36050093173980713,1.9631915092468262
standard,8,FF_FB_narrow_familiar,1.0,1.444726824760437,0.034534282982349396,0.005981015041470528,0.05308292433619499,0.003904111450538039,0.00024642026983201504,0.10409379005432129,0.013007466681301594
standard,5,FF_FB_narrow_novel,1.0,0.01,0.9,0.01,0.15,0.3,0.3,0.3,0.3
standard,23,FF_FB_narrow_novel,1.0,0.0063927387818694115,1.0903656482696533,0.006746961735188961,0.10626577585935593,0.5601662397384644,0.49821770191192627,0.7717635035514832,0.2816236615180969
standard,10,FF_FB_narrow_novel,1.0,0.0044634100049734116,0.36980876326560974,0.0004080279031768441,0.7663519382476807,1.2416164875030518,0.031236819922924042,0.4479473829269409,0.01986102946102619
standard,24,FF_FB_narrow_novel,1.0,0.02043084241449833,2.0,0.01364130713045597,0.1456436961889267,0.500106155872345,0.23861098289489746,0.41095295548439026,0.22270898520946503
standard,6,FB_FB,1.0,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5
standard,26,FB_FB,1.0,9.999999747378752e-05,9.999999747378752e-05,1.1538699865341187,0.6624806523323059,1.630743145942688,0.6900966763496399,2.0,1.25985848903656
ff_un,1,FF_un,1.0,0.5,0.5,1e-07,1e-07,0.1,0.1,0.1,0.1
ff_un,10,FF_un,1.0,0.3791868984699249,0.48194459080696106,0.0002910392649937421,9.999999747378752e-05,0.05542184039950371,0.07823887467384338,0.06991500407457352,0.1078256145119667
ff_un,11,FF_un,1.0,0.42148077487945557,0.6161909103393555,9.999999747378752e-05,0.00010759945143945515,0.05763189494609833,0.0916210189461708,0.09224246442317963,0.08258695900440216
