ablation,un_un__naive,un_un__expert,un_FF__naive,un_FF__expert,un_FB__naive,un_FB__expert,FF_un__naive,FF_un__expert,FF_FF__naive,FF_FF__expert,FF_FB_broad__naive,FF_FB_broad__expert,FF_FB_broad_novel__naive,FF_FB_broad_novel__expert,FF_FB_narrow_familiar__naive,FF_FB_narrow_familiar__expert,FF_FB_narrow_familiar_novel__naive,FF_FB_narrow_familiar_novel__expert,FF_FB_narrow_novel__naive,FF_FB_narrow_novel__expert,FB_FB__naive,FB_FB__expert
full_model,3.655776650505859,3.83045444802624,-0.1756568223037112,-21.71286161217884,4.052483436367425,24.36651448216189,-26.857961985845197,3.063750668841248,-30.312094022876853,-34.24446322903523,-19.24436890269895,29.920811021925065,-19.592233551428382,28.893774026485104,-15.788398502238463,27.546275993934408,-16.170665739783225,25.048780687209465,9.023569440161026,29.031824358754037,24.90416904459419,32.873517916351446
use_FF_connection,3.679566307641656,3.8277056863018952,0.2753172870728692,0.4278436123953559,4.08507681770368,24.3694081889934,2.311855952605975,3.9300677938139055,0.2614723609876662,0.6818697452884757,10.303014531756965,32.41728064422893,10.303014531756965,32.41728064422893,10.303014531756965,32.41728064422893,10.303014531756965,32.41728064422893,10.303014531756965,32.41728064422893,24.904169412213,32.87321098970045
FF_plasticity,3.655776650505859,3.832723651253185,-0.1756568223037112,0.0057435196195745,4.052483436367425,24.355266772860755,-26.857961985845197,2.823557921222037,-30.312094022876853,-28.30073332234264,-19.24436890269895,29.07742752775303,-19.592233551428382,28.170332942576852,-15.788398502238463,25.418427637836096,-16.170665739783225,23.27853266685917,9.023569440161026,28.99216067097781,24.90416904459419,32.87321124099355
use_FB_connection,3.655776650505859,3.83045444802624,-0.1646572724042082,-18.707273951393695,3.655776650505859,3.83045444802624,-26.857961985845197,3.063750668841248,-30.312094022876853,-34.24446322903523,-17.56290759758607,3.816070787601536,-17.951732433014783,3.849794774216416,-17.79049441055137,3.2977009383048226,-18.465554404039526,3.3125929886028165,3.488001560861981,3.896653391453994,2.93889480383774,2.7832125058406083
FB_plasticity,3.655776650505859,3.83045444802624,-0.1756568223037112,-21.48070700698676,4.052483436367425,4.242083513346459,-26.857961985845197,3.063750668841248,-30.312094022876853,-34.24446322903523,-19.24436890269895,11.8234784544876,-19.592233551428382,11.80143946923449,-15.788398502238463,10.975436147795175,-16.170665739783225,10.66084413961642,9.023569440161026,11.794141584929978,24.90416904459419,22.763178802788772
use_lat_connection,-0.3427867896935034,0.1242961946167737,-0.3625610379981141,-23.756576190397524,-0.3625610379981141,0.2164753825714154,-30.44738161377082,-12.472337832510954,-30.44738161377082,-34.95433652085617,-30.41111342741676,-2.849005298439618,-31.17261453915736,-3.054492647711191,-24.21953559360949,-8.44949951807803,-25.08625604559395,-8.422908628345642,-0.9625058962141586,-0.1171695333667148,0.0352320185233132,0.1541315323330714
lat_plasticity,3.655776650505859,3.8469205557444033,-0.1756568223037112,-21.9624506170624,4.052483436367425,24.312802789688988,-26.857961985845197,-4.361951787482664,-30.312094022876853,-34.32141285981814,-19.24436890269895,22.64990111053884,-19.592233551428382,21.74555955543399,-15.788398502238463,19.80487938482063,-16.170665739783225,17.96712812953337,9.023569440161026,28.144022623200954,24.90416904459419,33.04101151532774
use_pv_lat_connection,3.659741592053491,3.837343687434908,-0.1782092430001345,-21.870089910312988,4.061268253986054,24.97861471657977,-26.960877583884457,2.9934162380545724,-30.335492294869532,-34.38991130354407,-20.111840146281217,31.233796156784088,-20.512097070700257,30.05074058565254,-16.294995063595337,28.290012986062795,-16.752896429198692,25.64909351843915,9.1545461059279,29.663434769131555,41.63372601930006,61.671850099826656
pv_lat_plasticity,3.655776650505859,3.8309482366267016,-0.1756568223037112,-21.735718758046456,4.052483436367425,24.423989110609636,-26.857961985845197,3.0373970012831686,-30.312094022876853,-34.25335004679144,-19.24436890269895,30.540727766382567,-19.592233551428382,29.455973901746766,-15.788398502238463,28.15000547894148,-16.170665739783225,25.559579046351477,9.023569440161026,29.144818756086075,24.90416904459419,32.96984845393832
use_pv_connection,-0.3147101737127032,0.1317672433697186,-0.3590038127535564,-23.53877075825566,-0.3321861658825463,0.2212805639620292,-30.56364512328698,-12.633026460420265,-30.521114581347575,-35.07151823206554,-30.570665231423693,-4.024299754185556,-31.25311672215767,-4.1971619905377775,-24.578312171892673,-9.147823478085964,-25.32855851361163,-8.992965977529673,-0.9235346146328478,-0.0991345901490454,0.1031023827244919,0.1235490499429587
