method,sample_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,W_pv_00,W_pv_01,W_pv_10,W_pv_11,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,familiar_transition_label,novel_transition_label,familiar_transition_point_x,familiar_transition_point_y,novel_transition_point_x,novel_transition_point_y,receives_context_familiar,receives_context_novel,context_mode,context_marker,context_label,log10_w_ff_0,log10_w_ff_1,log10_w_fb_0,log10_w_fb_1,log10_w_lat_0,log10_w_lat_1,log10_w_pv_lat_0,log10_w_pv_lat_1,log10_W_pv_00,log10_W_pv_01,log10_W_pv_10,log10_W_pv_11,weight_point_idx,posterior_context_label
sbi_posterior,0,0.07950661453371298,0.21147392428674508,0.00016383483643824887,0.061616723499969536,0.0006749940222866484,0.5683750120061215,0.00010312615959645555,0.15999411419769857,0.46323850820602425,0.005597077014364497,0.003290249575625653,0.039542002008607885,0.013063539595653614,0.00018476825710725582,0.04781425753608346,0.005816820186252395,0.011740375387792787,0.0024956950704411915,0.05403748797252774,0.011560572947685917,0.0,0.0,0.04781425753608346,0.05403748797252774,False,False,True,True,0.0,-0.0,0.0,-0.0,0.04781425753608346,0.0,0.05403748797252774,0.0,unresponsive -> unresponsive,FF -> FF,unresponsive -> unresponsive,FF -> FF,0.0,0.0,0.04781425753608346,0.05403748797252774,True,True,11,o,"ctx=(T,T)",-1.0995967388153076,-0.6747431755065918,-3.7855937480926514,-1.210301399230957,-3.1707000732421875,-0.2453650236129761,-3.986631155014038,-0.7958959937095642,-0.3341953456401825,-2.2520387172698975,-2.482771158218384,-1.402941346168518,0,"ctx=(T,T)"
sbi_posterior,1,0.6054057293750859,0.20852840903498693,0.029596698084816336,0.7279208351866777,0.004510568782987558,0.0018663608546211888,0.00851818299619378,0.003473285553455075,0.0069156692309180565,0.0528469826593175,0.000537420827339992,0.0031700280744802987,0.13087115064263344,0.005531370748455325,0.18528516826530297,0.13656625958780447,0.09528902520736059,0.007187844013484815,0.18691350556910039,0.13874065031607946,0.13087115064263344,0.09528902520736059,0.04871890867749851,0.048172855253020924,True,True,True,True,0.13087115064263344,0.0,0.09528902520736059,0.0,0.04871890867749851,0.0,0.048172855253020924,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.13087115064263344,0.09528902520736059,0.04871890867749851,0.048172855253020924,True,True,11,o,"ctx=(T,T)",-0.21795347332954404,-0.6808347702026367,-1.5287567377090454,-0.13791584968566897,-2.345768690109253,-2.729004383087158,-2.069653034210205,-2.459259510040283,-2.160165786743164,-1.2769798040390015,-3.2696855068206787,-2.498936891555786,1,"ctx=(T,T)"
sbi_posterior,2,0.42245660282452396,0.32443155713218885,0.0033750040452915965,0.007942167831611217,0.010936526120044653,0.012161877766250067,0.006687242145713312,0.011867723079874383,0.003773762783289193,0.09558515076503422,0.060379665566026024,0.007412083120155165,0.08423377256840467,5.824704082139457e-06,0.06733419752369324,0.00019647919107228516,0.06316232457756996,0.0012815583460906055,0.07051159876088302,0.0014325139004540688,0.08423377256840467,0.06316232457756996,0.06733419752369324,0.07051159876088302,True,True,True,True,0.08423377256840467,0.0,0.06316232457756996,0.0,0.06733419752369324,0.0,0.07051159876088302,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.08423377256840467,0.06316232457756996,0.06733419752369324,0.07051159876088302,True,True,11,o,"ctx=(T,T)",-0.3742178976535797,-0.48887690901756287,-2.4717257022857666,-2.1000609397888184,-1.96112060546875,-1.9149993658065796,-2.174752950668335,-1.9256325960159302,-2.4232254028320312,-1.0196095705032349,-1.219109296798706,-2.1300597190856934,2,"ctx=(T,T)"
sbi_posterior,3,0.8243527829041148,0.2945751725641904,0.09461796563270382,0.09285807808943065,0.007872331651822793,0.0025683749885815526,0.0007926273810498035,0.030241376085030983,0.03251472411149952,0.05041409331831806,0.16179445467972006,0.014711611117242824,0.1827422636250655,0.010362272760054718,0.07327456896503766,0.0140378083800897,0.12978194852670033,0.014139622488679985,0.07535205980141958,0.01660999209464838,0.1827422636250655,0.12978194852670033,0.07327456896503766,0.07535205980141958,True,True,True,True,0.1827422636250655,0.0,0.12978194852670033,0.0,0.07327456896503766,0.0,0.07535205980141958,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.1827422636250655,0.12978194852670033,0.07327456896503766,0.07535205980141958,True,True,11,o,"ctx=(T,T)",-0.08388689160346985,-0.5308038592338562,-1.0240263938903809,-1.0321803092956543,-2.1038966178894043,-2.590341567993164,-3.10093092918396,-1.5193984508514404,-1.4879199266433716,-1.2974480390548706,-0.7910363674163818,-1.8323397636413574,3,"ctx=(T,T)"
sbi_posterior,4,0.06818517006741169,0.35592047943933947,0.018937921233662777,0.06570816268537322,0.024062909244852118,0.00661370867226862,0.0001751973014234101,0.005749615283946411,0.004210390861580495,0.1696689129130523,0.01059555512723545,0.22390740154459834,0.0218096728126208,0.003240380412898958,0.08275290572394928,0.008881371239355455,0.018133810302242637,0.007993413236302633,0.08522744718939065,0.012142555167277655,0.0,0.0,0.08275290572394928,0.08522744718939065,False,False,True,True,0.0,-0.0,0.0,-0.0,0.08275290572394928,0.0,0.08522744718939065,0.0,unresponsive -> unresponsive,FF -> FF,unresponsive -> unresponsive,FF -> FF,0.0,0.0,0.08275290572394928,0.08522744718939065,True,True,11,o,"ctx=(T,T)",-1.1663100719451904,-0.44864702224731445,-1.7226676940917969,-1.1823806762695312,-1.6186518669128418,-2.1795549392700195,-3.756472587585449,-2.240361213684082,-2.3756775856018066,-0.7703977227210999,-1.9748762845993042,-0.6499315500259399,4,"ctx=(T,T)"
sbi_posterior,5,0.10743294140346007,0.4126142284344523,0.0020789242674293437,0.05529650920775313,1.1869543791592154,0.0019735441187156357,0.00132705536442117,0.0013788804229015695,0.031532839799732724,0.2473590659018948,0.05338586581289796,0.09285071218472044,0.014689254465823372,0.00016852830982922267,0.039793259867777424,0.006954141640259574,0.015483880958830317,0.0021610299105911204,0.045354298409074546,0.005336694683258732,0.0,0.0,0.039793259867777424,0.045354298409074546,False,False,True,True,0.0,-0.0,0.0,-0.0,0.039793259867777424,0.0,0.045354298409074546,0.0,unresponsive -> unresponsive,FF -> FF,unresponsive -> unresponsive,FF -> FF,0.0,0.0,0.039793259867777424,0.045354298409074546,True,True,11,o,"ctx=(T,T)",-0.9688625335693359,-0.38445580005645746,-2.682161331176758,-1.2573022842407227,0.07443402707576752,-2.7047531604766846,-2.8771109580993652,-2.860473394393921,-1.501236915588379,-0.6066721677780151,-1.272573709487915,-1.0322147607803345,5,"ctx=(T,T)"
sbi_posterior,6,0.3540387818207109,0.3251358396894343,0.01062493541247246,0.4165084150721369,0.000351903184379097,0.0260226850836887,0.0005177432285572253,0.006170439590849167,0.19074370973157534,0.021621156558394146,0.012431370755510145,0.001556584730000678,0.07439390228440364,0.001658388894672195,0.1495175549139579,0.07496253618349631,0.05721197792639335,0.0031380145946362367,0.15213041317959627,0.07759519734730323,0.07439390228440364,0.05721197792639335,0.0745550187304616,0.07453521583229304,True,True,True,True,0.07439390228440364,0.0,0.05721197792639335,0.0,0.0745550187304616,0.0,0.07453521583229304,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.07439390228440364,0.05721197792639335,0.0745550187304616,0.07453521583229304,True,True,11,o,"ctx=(T,T)",-0.4509491622447968,-0.4879351556301117,-1.973673701286316,-0.3803762197494507,-3.4535768032073975,-1.5846478939056396,-3.2858855724334717,-2.209683895111084,-0.7195497751235962,-1.665121078491211,-1.905480980873108,-2.8078272342681885,6,"ctx=(T,T)"
sbi_posterior,7,0.238100105983301,0.45614984967519623,0.08778858583379079,0.02212731617330041,0.7510267487614529,0.003147507447260351,0.045979579260141464,0.07189437899694505,0.004539578830141576,0.0008362706027120734,0.147903211901771,0.18913588224341116,0.06305742952972651,0.012060651439242065,0.09173604045063258,1.6598873526163515e-05,0.044505246449261904,0.014147186566454669,0.09266037388394276,0.0013492614848170585,0.06305742952972651,0.044505246449261904,0.09173604045063258,0.09266037388394276,True,True,True,True,0.06305742952972651,0.0,0.044505246449261904,0.0,0.09173604045063258,0.0,0.09266037388394276,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.06305742952972651,0.044505246449261904,0.09173604045063258,0.09266037388394276,True,True,11,o,"ctx=(T,T)",-0.6232404112815857,-0.3408924639225006,-1.0565619468688965,-1.6550712585449219,-0.12434459477663037,-2.502033233642578,-1.337435007095337,-1.1433050632476807,-2.342984437942505,-3.077653169631958,-0.830022394657135,-0.7232260704040527,7,"ctx=(T,T)"
sbi_posterior,8,0.146249455015622,0.2600239272255151,0.02376911004544946,0.000726258347152775,0.00013936465412318533,0.0003615240373922482,0.004923134135483237,0.0011389526780005883,0.0075147877619181494,1.0959398875397885,0.0005058740882875908,0.0014467007097730702,0.03521513019998868,0.0040953379628869396,0.0507312065611283,0.00027069900521989136,0.02857795685219268,0.008115113363601267,0.05551611036062241,0.0010037245510223633,0.03521513019998868,0.02857795685219268,0.0507312065611283,0.05551611036062241,True,True,True,True,0.03521513019998868,0.0,0.02857795685219268,0.0,0.0507312065611283,0.0,0.05551611036062241,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.03521513019998868,0.02857795685219268,0.0507312065611283,0.05551611036062241,True,True,11,o,"ctx=(T,T)",-0.834905743598938,-0.584986686706543,-1.623987078666687,-3.138908863067627,-3.8558473587036133,-3.4418628215789795,-2.307758331298828,-2.9434943199157715,-2.1240832805633545,0.03978673368692401,-3.295957565307617,-2.8396213054656982,8,"ctx=(T,T)"
sbi_posterior,9,0.20087439114724914,0.32389801188502115,0.18836264948917042,0.07476641882096187,0.017071597968760805,0.013452932472488044,0.00024167813557101391,0.14679842754807892,0.0013709618074630226,0.0022942539045347292,0.001353416108421254,0.0015402435789785831,0.07761250622570515,0.03301479987179239,0.07762255209187667,0.01031779096617053,0.05793217066675425,0.03849493870511651,0.07936023448904356,0.013821002041610578,0.044597706353912754,0.019437231961637734,0.07762255209187667,0.07936023448904356,True,True,True,True,0.044597706353912754,0.0,0.019437231961637734,0.0,0.07762255209187667,0.0,0.07936023448904356,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.044597706353912754,0.019437231961637734,0.07762255209187667,0.07936023448904356,True,True,11,o,"ctx=(T,T)",-0.6970754265785217,-0.48959171772003174,-0.7250052094459534,-1.126293420791626,-1.7677258253097534,-1.8711830377578735,-3.616762638092041,-0.8332785964012146,-2.8629746437072754,-2.6393585205078125,-2.8685686588287354,-2.812410593032837,9,"ctx=(T,T)"
