class_a,class_b,candidate_idx_a,candidate_idx_b,alpha,assigned_target,assigned_objective,objective_margin,familiar_primary_transition,novel_primary_transition,familiar_expert2_state,novel_expert2_state,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,lr_ff,lr_fb,lr_lat,lr_pv
FF_FB_narrow_novel,un_FB,60,51,0.0,FF_FB_narrow_novel,1.3239719142100916,0.5965789084567281,unresponsive -> unresponsive,FF -> FF,0.0,0.058640914782881734,0.002508841534878463,0.23598683374192744,0.0038727727689218303,0.030239215054309952,0.0034870291494387704,0.00028115000772777575,0.0020960293122285014,0.0007151076426555933,0.013546273394884283,0.0002818188964088444,0.001600122032012687,0.0001646650162040535
FF_FB_narrow_novel,un_FB,60,51,0.16666666666666666,FF_FB_narrow_novel,1.4035586121691244,0.4931795493597255,unresponsive -> unresponsive,FF -> FF,0.0,0.037831233162432906,0.0016569685762091474,0.14099967152313864,0.0022800014288724456,0.02862888309246139,0.006118293303263636,0.0006265260689099063,0.0026968656885338594,0.0011099840954897362,0.010205783800998717,0.0003319331799277883,0.001570516136566327,0.00018891072328750707
FF_FB_narrow_novel,un_FB,60,51,0.3333333333333333,un_FB,1.1263571920911004,1.405884574155206,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.02530152453109622,0.001094347659816456,0.08424583293224965,0.001342295772521561,0.027104306300602975,0.010735073135475661,0.0013961760776609092,0.003469934556525104,0.0017229080193645037,0.0076890536575219895,0.00039095900715306256,0.0015414580174942963,0.0002167264316106176
FF_FB_narrow_novel,un_FB,60,51,0.5,un_FB,0.6653285314268499,1.9101840518610307,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0007227637371890568,0.050336006387673125,0.0007902442156890654,0.025660917950038848,0.018835611421658825,0.0031112953419866578,0.004464607146643924,0.002674283402124626,0.005792945186872053,0.0004604810682299388,0.0015129375396883086,0.00024863779748059416
FF_FB_narrow_novel,un_FB,60,51,0.6666666666666666,un_FB,0.704825476622485,1.8951981801874656,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.00047735051572468917,0.030075238749167305,0.0004652371952694913,0.024294394504535872,0.03304870429389992,0.006933336604137766,0.005744407178049265,0.004151000305586371,0.004364414066128282,0.0005423658499193232,0.0014849447555626224,0.00028524787621230955
FF_FB_narrow_novel,un_FB,60,51,0.8333333333333333,un_FB,0.71807821899091,1.8902750241489756,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.000315266944283652,0.01796964143029281,0.0002738971618710169,0.023000642669570956,0.05798680122747241,0.015450528214907958,0.007391067734151908,0.006443147918911236,0.0032881564603416498,0.0006388117459192089,0.0014574699015844482,0.0003272485185603506
FF_FB_narrow_novel,un_FB,60,51,1.0,un_FB,0.509331232812119,1.981337437034222,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.00020821857918610959,0.010736673308777516,0.00016125033863112018,0.021775787131246095,0.10174284252393631,0.034430583101533165,0.009509751060051495,0.010001000252662207,0.0024773022778926982,0.0007524080780252852,0.0014305033948685507,0.00037543344519149423
FF_FB_narrow_familiar,un_FB,19,11,0.0,un_FB,1.9353805567437015,0.016384821489828783,FF -> FB,unresponsive -> unresponsive,-0.005027890112251049,0.0,0.0002593946726113457,0.0008985502682860848,0.1666593405150191,0.000687367597142464,0.015392539906018944,0.0003124311288313501,0.20920329501249402,0.06366126520866891,0.005503487099795333,0.0009391611942596656,0.00011724715383816986,0.0042598115264867445
FF_FB_narrow_familiar,un_FB,19,11,0.16666666666666666,un_FB,0.5415758074452597,1.843673164198868,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.00030187775228340444,0.0011930505783244287,0.08334627153781261,0.0008762249943296675,0.012968333874379925,0.0005459658941102343,0.13887560396376858,0.022560150745593234,0.004744744075944225,0.0006340619115020082,0.00021645697227593697,0.0041063089497950424
FF_FB_narrow_familiar,un_FB,19,11,0.3333333333333333,un_FB,0.539642923123872,1.9194777910396315,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0003513186157844575,0.0015840735156144592,0.041681438062745574,0.0011169718268359073,0.010925921550583547,0.0009540622877321872,0.0921899120907712,0.007994820712337713,0.004090605817363506,0.0004280782788672408,0.00039961414254486134,0.0039583378481238855
