parameter,random_forest_importance
w_ff_1,0.18683070190853335
w_ff_0,0.17142873323672678
w_fb_0,0.1356902228353126
w_fb_1,0.12695229184131615
w_lat_1,0.10159853834969323
w_lat_0,0.05968773492729801
lr_fb,0.046274466124750106
w_pv_lat_0,0.038618117317483096
lr_pv,0.03481452131484364
w_pv_lat_1,0.0341453996997548
lr_lat,0.03277275119924959
lr_ff,0.031186521245038713
