candidate_idx,search_group,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,assigned_target,assigned_objective,assigned_rmse,assigned_mismatch_penalty,assigned_transition_bonus,second_target,second_objective,objective_gap,familiar,novel,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,objective__FF_FB_broad,rmse__FF_FB_broad,mismatch__FF_FB_broad,objective__FF_un,rmse__FF_un,mismatch__FF_un,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,mismatch__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,mismatch__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,mismatch__un_FB,objective__un_un,rmse__un_un,mismatch__un_un,objective__FB_FB,rmse__FB_FB,mismatch__FB_FB,target
17,standard,True,True,0.00979570485651493,0.004743077326565981,0.006782907526940107,0.01443643867969513,2.0,2.0,1.5487160682678223,1.4412829875946045,0.0,0.0,0.0,0.0,0.0,0.00011404625353558609,0.0,0.00013267479953356088,un_un,-0.19789060752179163,0.001615950372070074,0,3.990131157877234,un_FB,-0.19510920846175092,0.0027813990600407124,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6148264774800434,1.4153199195861816,4,4.137705839586366,1.9381992816925049,4,2.4744018954205482,1.4743646383285522,2,3.7016639071536095,2.7017011642456055,2,-0.19510920846175092,0.0043973494321107864,0,-0.19789060752179163,0.001615950372070074,0,4.0920546421528945,1.8925480842590332,4,un_un
1,standard,True,True,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0004188983313118418,0.0,0.00019390073818309855,un_FB,-0.19877440186101014,0.0,0,3.975488037220203,un_un,-0.19277207583072598,0.006002326030284166,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6137952253397088,1.4150208234786987,4,4.136981670575915,1.9382072687149048,4,2.473918815467429,1.4743688106536865,2,3.70202455916636,2.7015745639801025,2,-0.19877440186101014,0.0,0,-0.19277207583072598,0.006002326030284166,0,4.0886669799860105,1.889892578125,4,un_FB
2,standard,True,True,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0004188983313118418,0.0,0.00019390073818309855,un_FB,-0.19877440186101014,0.0,0,3.975488037220203,un_un,-0.19277207583072598,0.006002326030284166,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6137952253397088,1.4150208234786987,4,4.136981670575915,1.9382072687149048,4,2.473918815467429,1.4743688106536865,2,3.70202455916636,2.7015745639801025,2,-0.19877440186101014,0.0,0,-0.19277207583072598,0.006002326030284166,0,4.0886669799860105,1.889892578125,4,un_FB
15,standard,True,True,0.009682604111731052,0.003273017704486847,0.008560115471482277,0.01691216602921486,1.6065943241119385,1.7105469703674316,2.0,0.5716235041618347,0.0,0.0,0.0,0.0,0.0,0.0002811577238996203,0.0,0.0003581376135116443,un_FB,-0.19569003257590034,0.003031376749277115,0,3.974428186503549,un_un,-0.1935615781849871,0.002128454390913248,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6137545113606997,1.4150331020355225,4,4.1369285588307925,1.9382071495056152,4,2.4745158562941167,1.4743618965148926,2,3.7012045969682124,2.7013585567474365,2,-0.19569003257590034,0.003031376749277115,0,-0.1935615781849871,0.005159831140190363,0,4.088485360626752,1.8897639513015747,4,un_FB
16,standard,True,True,0.008058342151343822,0.0064214118756353855,0.005305658560246229,0.015001710504293442,1.067427158355713,1.3639261722564697,1.3211414813995361,0.7617319226264954,0.0,0.0,0.0,8.9423618192086e-05,0.0,0.0005433078409017374,0.0,0.0006143072406606128,un_FB,-0.19117795357839595,0.006327969022095203,0,3.950118452009823,un_un,-0.18709433226273786,0.0040836213156580925,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6121186926810576,1.4146127700805664,4,4.135735841080411,1.9382299184799194,4,2.4746941866425916,1.4743733406066895,2,3.700527494952257,2.700848340988159,2,-0.19117795357839595,0.006327969022095203,0,-0.18709433226273786,0.010411590337753296,0,4.082962484642728,1.8854565620422363,4,un_FB
18,standard,True,True,0.009228108450770378,0.010932032950222492,0.009587985463440418,0.013514775782823563,0.7252800464630127,2.0,1.2034142017364502,0.4324086308479309,0.0,0.0,0.0,0.0002691542099152381,1.1140705434324142e-05,0.0010120755333142975,0.0,0.0007058280287310481,un_FB,-0.1843084019861029,0.011717482469975948,0,3.920517689121577,un_un,-0.17909355156783327,0.005214850418269634,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6100517872041866,1.414025902748108,4,4.134228504008691,1.9382026195526123,4,2.4742356154660228,1.4743098020553589,2,3.7005098250170705,2.7004356384277344,2,-0.1843084019861029,0.011717482469975948,0,-0.17909355156783327,0.016932332888245583,0,4.0761828783220455,1.8801569938659668,4,un_FB
0,standard,True,True,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.05191358799735705,0.00518547366373241,0.05033022537827492,0.0039081386911372345,0.046920922895272575,0.0062915739292899765,0.049844566235939664,0.004728521980966131,FF_FB_broad,-0.1980186050136884,0.0,0,3.960372100273768,FF_un,0.35296136687199275,0.5509799718856812,FF -> FF,FF -> FF,0.05191358799735705,0.046920922895272575,0.05033022537827492,0.049844566235939664,True,True,True,True,0.05191358799735705,0.0,0.046920922895272575,0.0,0.05033022537827492,0.0,0.049844566235939664,0.0,FF -> FF,FF -> FF,-0.1980186050136884,0.0,0,0.35296136687199275,0.5509799718856812,0,2.1149795268972715,1.1122989654541016,2,2.9022435928384462,1.9049241542816162,2,3.613039428492387,1.4150208234786987,4,3.6134436671932537,1.4154250621795654,4,4.603137257819374,2.2453460693359375,4,FF_FB_broad
3,standard,True,True,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.05191358799735705,0.00518547366373241,0.05033022537827492,0.0039081386911372345,0.046920922895272575,0.0062915739292899765,0.049844566235939664,0.004728521980966131,FF_FB_broad,-0.1980186050136884,0.0,0,3.960372100273768,FF_un,0.35296136687199275,0.5509799718856812,FF -> FF,FF -> FF,0.05191358799735705,0.046920922895272575,0.05033022537827492,0.049844566235939664,True,True,True,True,0.05191358799735705,0.0,0.046920922895272575,0.0,0.05033022537827492,0.0,0.049844566235939664,0.0,FF -> FF,FF -> FF,-0.1980186050136884,0.0,0,0.35296136687199275,0.5509799718856812,0,2.1149795268972715,1.1122989654541016,2,2.9022435928384462,1.9049241542816162,2,3.613039428492387,1.4150208234786987,4,3.6134436671932537,1.4154250621795654,4,4.603137257819374,2.2453460693359375,4,FF_FB_broad
19,standard,True,True,0.4269775450229645,0.30671364068984985,0.043760981410741806,0.05253808572888374,0.30484738945961,0.20145101845264435,0.2154974341392517,0.4670303761959076,0.039262646436691286,0.005054371260727445,0.030689936131238937,0.00508780269883573,0.03600342658658822,0.0063863180267314116,0.030758217970530192,0.006564280980577071,FF_FB_broad,0.3813364185392857,0.45476487278938293,0,1.468569085001945,FF_un,0.9160299278795719,0.5346935093402863,FF -> FF,FF -> FF,0.039262646436691286,0.03600342658658822,0.030689936131238937,0.030758217970530192,True,True,True,True,0.039262646436691286,0.0,0.03600342658658822,0.0,0.030689936131238937,0.0,0.030758217970530192,0.0,FF -> FF,FF -> FF,0.3813364185392857,0.45476487278938293,0,0.9160299278795719,0.9894583821296692,0,1.9262687909106413,0.9539046287536621,2,3.196410204221805,2.168774366378784,2,3.0586559794843198,0.9852275252342224,4,3.0592698477208615,0.9858413934707642,4,4.210964641409616,1.9837217330932617,4,FF_FB_broad
4,standard,True,True,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5,0.07612837155659993,0.0,0.0010308489222855617,0.0002205394635287424,0.07121830508112907,0.00012186222884338349,2.9599619665532373e-05,0.00039088510093279185,FF_FB_narrow_familiar,-0.29184988522902133,0.0,0,5.836997704580426,FF_FB_broad,2.014762144132207,2.306612029361228,FF -> FF,unresponsive -> unresponsive,0.07612837155659993,0.07121830508112907,0.0,0.0,True,True,False,False,0.07612837155659993,0.0,0.07121830508112907,0.0,0.0,-0.0,0.0,-0.0,FF -> FF,unresponsive -> unresponsive,2.014762144132207,1.1122989654541016,2,2.2595699835258225,1.3571068048477173,2,-0.29184988522902133,0.0,0,5.299390111211688,3.007540225982666,4,2.5719056319755813,1.4743688106536865,2,2.5719026517433425,1.4743658304214478,2,4.786988803517306,2.3953826427459717,4,FF_FB_narrow_familiar
