search_group,candidate_idx,target,seed,matched_target,predicted_target,predicted_objective,predicted_rmse,predicted_gap,familiar_transition,novel_transition,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_naive,occlusion_novel_naive,full_novel_expert,occlusion_novel_expert
standard,1,un_FB,11,True,un_FB,-0.146304476678885,0.03772887960076332,0.04072120413184166,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,4.250154416775287e-12,9.381594058292346e-05,0.0,0.005158919709113737,0.0006299568645772524,1.862527172609892e-05,6.964823953126143e-08,0.0021006293459019314
standard,1,un_FB,23,True,un_FB,-0.15404441777692834,0.03158998116850853,0.035116057842969894,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,1.6075761739860657e-06,4.8231525033770596e-05,0.0,0.003353400734098007,1.3100614308647617e-10,0.00042741985969314556,2.9217780972423667e-12,0.0033537484084566432
standard,1,un_FB,37,True,un_FB,-0.1595331803648643,0.02366621419787407,0.054616231471300125,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,1.5886371717542997e-11,0.00010236773585650857,2.847990565602032e-10,0.004533438438860078,0.0002098711194169785,0.0005537064611019105,0.0,0.0032107900828123094
standard,88,un_FB,11,True,un_FB,-0.14463958762741339,0.04189721494913101,0.022966668009757996,unresponsive -> unresponsive,unresponsive -> unresponsive,0.006273327860981226,0.006051459349691868,0.011670454405248165,0.013477178290486336,1.902671217918396,1.6305431127548218,2.0,0.6877539157867432,4.2451666314169415e-12,8.298145791438097e-05,0.0,0.004192697629332542,0.0005308573565950307,7.15950690543347e-06,6.505941586946543e-08,0.0019250622678858539
standard,88,un_FB,23,True,un_FB,-0.14613771167420664,0.04132075980305672,0.015902303159236908,unresponsive -> unresponsive,unresponsive -> unresponsive,0.006273327860981226,0.006051459349691868,0.011670454405248165,0.013477178290486336,1.902671217918396,1.6305431127548218,2.0,0.6877539157867432,0.0,3.1945634236762996e-05,0.0,0.0028251743720223506,1.0635072498580792e-10,0.0004976122878815658,2.330546779866216e-12,0.0029160319672276577
standard,88,un_FB,37,True,un_FB,-0.15537790654041866,0.029009973630309105,0.04260111786425114,unresponsive -> unresponsive,unresponsive -> unresponsive,0.006273327860981226,0.006051459349691868,0.011670454405248165,0.013477178290486336,1.902671217918396,1.6305431127548218,2.0,0.6877539157867432,5.483694213414177e-12,8.570627785522422e-05,1.7466919785547042e-10,0.004085051702956358,0.00015647822714110287,0.0006265930948302411,0.0,0.0030087088389943043
standard,98,un_FB,11,True,un_FB,-0.14581482413862737,0.03963247686624527,0.031241483986377716,unresponsive -> unresponsive,unresponsive -> unresponsive,0.019199015572667122,0.00890183076262474,0.009472767822444439,0.004933620803058147,2.0,0.7980673909187317,1.6479649543762207,1.9494092464447021,9.094894178052204e-11,0.00011316702566546155,0.0,0.004631986562162638,0.0005456020672378752,2.8384835089430757e-05,3.4653428239532027e-07,0.0019855938424977165
standard,98,un_FB,23,True,un_FB,-0.1525970359044474,0.03322498872876167,0.03301278129220009,unresponsive -> unresponsive,unresponsive -> unresponsive,0.019199015572667122,0.00890183076262474,0.009472767822444439,0.004933620803058147,2.0,0.7980673909187317,1.6479649543762207,1.9494092464447021,4.613648041442801e-12,0.00018859384872484952,0.0,0.0038555330170008044,1.3546196317437698e-10,0.00031900732221477787,2.361224963384062e-12,0.0027258534954550367
standard,98,un_FB,37,True,un_FB,-0.1581304354887152,0.024791575968265533,0.056987181305885315,unresponsive -> unresponsive,unresponsive -> unresponsive,0.019199015572667122,0.00890183076262474,0.009472767822444439,0.004933620803058147,2.0,0.7980673909187317,1.6479649543762207,1.9494092464447021,3.1898157715204434e-07,0.00013545747212144002,1.6735806004919418e-10,0.004991064391409357,0.0001767173702925599,0.0004224390041637586,2.1562490322442802e-05,0.0029900334038150808
standard,86,un_FB,11,True,un_FB,-0.14830113912277437,0.03576617315411568,0.04257785901427269,unresponsive -> unresponsive,unresponsive -> unresponsive,0.028404179960489273,0.021123554557561874,0.011976753361523151,0.006691454444080591,1.8883765935897827,0.7539568543434143,1.7161003351211548,2.0,4.286600993145632e-12,0.00015121706696087737,0.0,0.005117615700388948,0.00048474289869773204,3.7342755967983975e-05,1.0966431508071157e-06,0.002212768195507427
