search_group,candidate_idx,target,backtest_success_rate,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1
standard,1,un_FB,1.0,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5
standard,88,un_FB,1.0,0.006273327860981226,0.006051459349691868,0.011670454405248165,0.013477178290486336,1.902671217918396,1.6305431127548218,2.0,0.6877539157867432
standard,98,un_FB,1.0,0.019199015572667122,0.00890183076262474,0.009472767822444439,0.004933620803058147,2.0,0.7980673909187317,1.6479649543762207,1.9494092464447021
standard,86,un_FB,1.0,0.028404179960489273,0.021123554557561874,0.011976753361523151,0.006691454444080591,1.8883765935897827,0.7539568543434143,1.7161003351211548,2.0
standard,90,un_FB,1.0,0.00727230217307806,0.013584921136498451,0.004711232613772154,0.01180510874837637,1.1595841646194458,2.0,1.0134470462799072,2.0
standard,62,un_FB,1.0,0.0001560180535307154,0.02139727771282196,0.0014823211822658777,0.000537790940143168,1.6783503293991089,0.049143824726343155,1.2560547590255737,0.00021773144544567913
standard,102,un_FB,1.0,0.0157075896859169,0.012038624845445156,0.012490035966038704,0.01182404812425375,0.5082651972770691,1.8630987405776978,0.9905775189399719,0.9695467352867126
standard,17,un_FB,1.0,0.03634489327669144,0.0008921140688471496,0.0029194450471550226,0.00014089558681007475,1.0368753671646118,0.00013463686627801508,0.004933742806315422,0.4618102014064789
standard,43,un_FB,1.0,0.0012534288689494133,0.0001556110510136932,0.062403738498687744,0.0036372158210724592,1.4486693143844604,0.0018954104743897915,0.03090234473347664,0.014509981498122215
standard,51,un_FB,1.0,0.013898851349949837,0.0034413388930261135,0.00011295192234683782,0.0011037918739020824,0.0009188627591356635,0.00016276819224003702,0.21993771195411682,0.002597907790914178
standard,63,un_FB,1.0,0.0002746769750956446,0.001280725235119462,0.025468967854976654,0.010018677450716496,0.00030377102666534483,0.0280247014015913,0.004258313681930304,0.011827245354652405
standard,35,un_FB,1.0,0.0056588537991046906,0.004308399278670549,0.034096669405698776,0.00012068362411810085,0.005587114952504635,0.00026953915948979557,0.06672335416078568,0.00010145634587388486
standard,133,un_FB,1.0,0.8412449955940247,0.007784860674291849,0.018118534237146378,0.01185707189142704,0.7390115261077881,1.934898018836975,0.5138733386993408,1.339734435081482
