search_group,candidate_idx,target,seed,matched_target,predicted_target,predicted_objective,predicted_rmse,predicted_gap,familiar_transition,novel_transition,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_naive,occlusion_novel_naive,full_novel_expert,occlusion_novel_expert
standard,1,un_FB,11,True,un_FB,-0.15224929627050232,0.00599702587351203,0.2051271409727633,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,7.133710365536672e-06,0.00016063773114183277,1.120001269860893e-06,0.012534409383079037,4.323310750231624e-08,6.6358144690426e-05,0.00012102984831017239,0.00811543366908154
standard,1,un_FB,23,True,un_FB,-0.1256452114470875,0.04030262678861618,0.13440123945474625,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,0.00010051256843012224,7.145452887468025e-16,0.010899364394572331,1.082996564233385e-08,0.00020500111536421174,8.482455728792138e-09,0.0058212028037814886
standard,1,un_FB,37,True,un_FB,-0.14083390489015385,0.01520682405680418,0.21039349306374788,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,3.490164571197038e-11,1.0040512675146829e-05,4.1768330694935686e-05,0.01388493017948349,4.659019284901575e-15,0.0002235692591540328,1.5927946045657394e-06,0.00786109557520831
standard,1681,un_FB,11,True,un_FB,-0.13819832087729794,0.02370545268058777,0.16728423535823822,unresponsive -> unresponsive,unresponsive -> unresponsive,0.012329896911978722,0.00936767365783453,0.013009580783545971,0.009856011718511581,1.598257064819336,1.2297636270523071,2.0,2.0,7.218206908987667e-06,0.00023624093889793585,1.1217386647999206e-06,0.011228983407636405,4.137363917022796e-08,7.61508574861125e-05,0.00013150753879926925,0.007506738017036696
standard,1681,un_FB,23,True,un_FB,-0.11597893837171683,0.052175529301166534,0.10939883440732956,unresponsive -> unresponsive,unresponsive -> unresponsive,0.012329896911978722,0.00936767365783453,0.013009580783545971,0.009856011718511581,1.598257064819336,1.2297636270523071,2.0,2.0,3.2058168240260004e-10,0.00012614978813019206,1.176495573318448e-06,0.009956974566011922,1.2359846584403255e-08,0.0002328166537154175,1.0343640702986656e-08,0.00560682515570079
standard,1681,un_FB,37,True,un_FB,-0.1477584043268678,0.012495286762714386,0.19008760899305344,unresponsive -> unresponsive,unresponsive -> unresponsive,0.012329896911978722,0.00936767365783453,0.013009580783545971,0.009856011718511581,1.598257064819336,1.2297636270523071,2.0,2.0,5.3597902375038253e-11,3.5575528852405117e-05,3.9186514317179896e-05,0.012399663982068886,2.3465463503091453e-12,0.00026003350872372266,1.7445852273922924e-06,0.007177881435563904
standard,1677,un_FB,11,True,un_FB,-0.1514208193430406,0.006086722016334534,0.2110781967639923,unresponsive -> unresponsive,unresponsive -> unresponsive,0.016109976917505264,0.0177328959107399,0.014543780125677586,0.008240677416324615,1.1594560146331787,2.0,1.8463387489318848,1.1394603252410889,7.597474890985723e-06,0.00016165544761861383,1.131760731709619e-06,0.013208001886232524,5.7179423929021314e-08,3.6474159177402043e-05,0.00012028095169398511,0.007840097827283898
standard,1677,un_FB,23,True,un_FB,-0.12681225023961817,0.03806823864579201,0.1457107625901699,unresponsive -> unresponsive,unresponsive -> unresponsive,0.016109976917505264,0.0177328959107399,0.014543780125677586,0.008240677416324615,1.1594560146331787,2.0,1.8463387489318848,1.1394603252410889,0.0,0.0001963281511734749,3.6591282183964947e-16,0.0118138689576881,7.561814008988365e-09,0.00012826556073832762,4.987548945373232e-09,0.005421292887695018
standard,1677,un_FB,37,True,un_FB,-0.13338769852599625,0.021976428106427193,0.2091484945267439,unresponsive -> unresponsive,unresponsive -> unresponsive,0.016109976917505264,0.0177328959107399,0.014543780125677586,0.008240677416324615,1.1594560146331787,2.0,1.8463387489318848,1.1394603252410889,5.771733021533131e-11,2.9516932411866036e-05,5.3018471049881555e-05,0.014376747224014252,9.905681924536744e-12,0.00013024430317329916,1.4012093103588086e-06,0.0077814282241888575
standard,1758,un_FB,11,True,un_FB,-0.1350849577966841,0.02601522207260132,0.16766318678855896,unresponsive -> unresponsive,unresponsive -> unresponsive,0.013152199797332287,0.017905592918395996,0.008343212306499481,0.01181128341704607,2.0,1.0463985204696655,2.0,1.0649330615997314,5.0317266989452495e-06,0.0001898095832530089,1.0566617453910965e-06,0.01102524549132795,3.7386623841229036e-08,0.00010646748397249439,0.00011967350131953935,0.008128387506803846
