target,n_region_points,validated_quantile_low,validated_quantile_high,familiar_transition,novel_transition,w_ff_0_low,w_ff_0_high,w_ff_1_low,w_ff_1_high,w_fb_0_low,w_fb_0_high,w_fb_1_low,w_fb_1_high,w_lat_0_low,w_lat_0_high,w_lat_1_low,w_lat_1_high,w_pv_lat_0_low,w_pv_lat_0_high,w_pv_lat_1_low,w_pv_lat_1_high
un_FB,590,0.05,0.95,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0001647193232201,0.3909384980797767,0.0001538452190288,0.2015611194074139,0.000162947046192,0.0524935111403464,0.0001587521066539,0.0654723983258008,0.0002313103410414,2.0,0.0001954527455381,2.0,0.0002024781526415,1.9938238918781277,0.0002052615054707,2.0
FF_FB_broad,31,0.05,0.95,FF -> unresponsive,FF -> FF,0.2308436855673789,0.7133938670158386,0.0865692310035228,0.7728368043899536,0.0003056952737096,0.0644316636025905,0.0037561869248747,0.2357126846909522,0.0006115819269325,0.3815823048353195,0.000214349835005,0.627193033695221,0.0004705870960605,1.3424345254898071,0.000492159218993,0.6012791991233826
FF_FB_narrow_familiar,176,0.1,0.9,FF -> unresponsive,unresponsive -> unresponsive,0.2920982092618942,1.3195540308952332,0.0008104984008241,0.2895738631486892,0.0006031281372997,0.043605089187622,0.0005286942759994,0.0582043584436178,0.0006473119137808,0.4871798008680343,0.0019338167621753,2.0,0.0010320650180801,0.5367637574672699,0.0008783195808063,2.0
FF_FB_narrow_novel,259,0.05,0.95,unresponsive -> unresponsive,FF -> FF,0.0001854989925049,0.1654727339744564,0.0588521406054496,1.9239913463592528,0.000173155828088,0.0498946487903594,0.0004118507902603,1.0535469532012938,0.0002632335352245,0.9151230752468104,0.0002254990467917,0.4901160448789595,0.0002917533391154,0.7421914160251617,0.0002554931226767,0.9802183508872984
FF_un,99,0.05,0.95,FF -> unresponsive,FF -> FF,0.2706525355577468,0.9549643039703368,0.2764783322811127,1.1737032651901245,9.999999747378752e-05,0.2198311164975155,9.999999747378752e-05,0.2928424090147012,0.0002525438394513,0.2626240998506545,0.0003397441891138,0.2781812191009519,0.0009488405194133,0.4711910545825939,0.0007671707280678,0.3731560230255125
