candidate_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_transition,novel_transition,target,objective,normalized_rmse,mismatch_penalty,transition_score_familiar,transition_score_novel,transition_bonus
7,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,0.00042561749047915023,0.04366224513699611,0.0,0.040454592237559456,0.00043705765524464367,0.04979309580909709,0.0006944645444794636,0.042092817711333434,FB -> FB,FB -> FB,FB_FB,-0.14204486622475088,0.00996063556522131,0,0.0434553409460932,0.03254740994889289,3.0401100357994437
292,0.00018902512965723872,0.00016234751092270017,0.5110347270965576,0.6343422532081604,2.0,0.6691591143608093,2.0,2.0,0.0008261412840511184,0.03276454916534324,0.003808927933278028,0.03882757547932367,0.00043818981960915454,0.039019604966354864,0.007728259263482566,0.03917867431106667,FB -> FB,FB -> FB,FB_FB,0.1535201536025852,0.2531009614467621,0,0.021784154131698104,0.028006249790390333,1.9916161568835373
301,0.00025071724667213857,0.00013617065269500017,0.7379155158996582,0.6599348783493042,1.1465855836868286,0.8325139880180359,1.2303849458694458,2.0,0.0026840763098637884,0.06528042609182497,0.002759981831089438,0.057276642865811786,0.0013864980021025986,0.0724428191781044,0.006943332658071692,0.05923916910154124,FB -> FB,FB -> FB,FB_FB,0.26061970246955757,0.5690978169441223,0,0.08772324526992936,0.06651581196735303,6.169562289491295
299,9.999999747378752e-05,0.00019076114404015243,0.9373970627784729,0.48918238282203674,1.7945655584335327,1.528635025024414,0.8697614669799805,0.9968608021736145,0.0009678833649862402,0.08352714961705109,0.0,0.04172398329246789,0.0006866121662217968,0.09186983599017064,0.0009823532456114967,0.04267468652687967,FB -> FB,FB -> FB,FB_FB,0.5005282489117235,0.8201195597648621,0,0.1253969856072217,0.034398669819347555,6.39182621706277
303,0.00017294238205067813,0.006981624290347099,0.23149466514587402,0.28615298867225647,0.0012624658411368728,0.17530296742916107,1.9496413469314575,0.00836092047393322,0.035538560384884475,0.03795930442865938,0.023607491690199822,0.04778791149922957,0.03125660707398007,0.04661684518214315,0.028840478478620448,0.05293374344085654,FB -> FB,FB -> FB,FB_FB,0.7420443293948968,0.8713686466217041,0,0.017780982151937984,0.046881176461465654,2.5864863445361452
287,0.00754923140630126,0.005656114313751459,0.337212473154068,0.5806341767311096,0.02658919245004654,0.8972395062446594,0.0075244721956551075,0.01736719347536564,0.04014941315787534,0.05446366642912229,0.0033473296052155396,0.09456767736313244,0.034576326096430424,0.0643517777013282,0.006254188019859915,0.10007162968007227,FB -> FB,FB -> FB,FB_FB,0.9954392435029149,1.3728972673416138,0,0.04408970487614473,0.1446393070432047,7.549160476773977
302,0.0004997061914764345,0.014722716063261032,0.11952347308397293,0.29916995763778687,0.0004386045620776713,0.12983518838882446,0.6870017051696777,0.03471085801720619,0.017758011426000544,0.019503986303849766,0.033399733947589993,0.04972734938686093,0.021799289415745684,0.029984384883816044,0.04040513993240893,0.056704614947860436,unresponsive -> FB,FB -> FB,FB_FB,1.4142510250909255,0.9784819483757019,1,-0.000511628812334193,0.032627090454722445,1.28461846569553
283,0.001849902095273137,0.013766181655228138,0.46859011054039,0.5718542337417603,0.011760259978473186,0.6648651361465454,0.020448246970772743,0.010476465336978436,0.06665146279459198,0.07656927645827333,0.007831256017864992,0.09442389036218325,0.05479570591511826,0.08581689256243408,0.012474304255253326,0.0996791928075254,FB -> FB,FB -> FB,FB_FB,1.4291653628771503,1.799249529838562,0,0.04093900031099716,0.14410308316970863,7.401683339228231
289,0.0026025441475212574,0.0072268047370016575,0.3576163649559021,0.6816569566726685,0.008843749761581421,0.5765453577041626,0.01137041300535202,0.004313651006668806,0.04997618972944717,0.05826299587885539,0.030958369467407466,0.11263005901128054,0.04366505150683224,0.06809970522299409,0.03865044435175757,0.11825546498099963,FB -> FB,FB -> FB,FB_FB,1.5276889559812843,1.9156852960586548,0,0.032721459865570075,0.16127671017311515,7.759926801547408
60,0.0032988388556987047,0.009296917356550694,0.5417863726615906,0.6616261601448059,0.016642976552248,1.089050054550171,0.009787969291210175,0.005439395550638437,0.07227755123749376,0.08819973715581,0.0037235327530652285,0.10813904569173853,0.057313427903379004,0.09720900435931981,0.0064945755914474525,0.11254289147133628,FB -> FB,FB -> FB,FB_FB,1.6565193673285346,2.1095187664031982,0,0.055817762374257056,0.1706819371630748,9.059987981493274
