method,sample_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,W_pv_00,W_pv_01,W_pv_10,W_pv_11,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,familiar_transition_label,novel_transition_label,familiar_transition_point_x,familiar_transition_point_y,novel_transition_point_x,novel_transition_point_y,receives_context_familiar,receives_context_novel,context_mode,context_marker,context_label,log10_w_ff_0,log10_w_ff_1,log10_w_fb_0,log10_w_fb_1,log10_w_lat_0,log10_w_lat_1,log10_w_pv_lat_0,log10_w_pv_lat_1,log10_W_pv_00,log10_W_pv_01,log10_W_pv_10,log10_W_pv_11,weight_point_idx
sobol,0,0.0007210078183561563,0.0005434813792817295,0.16711165010929108,0.0006204962264746428,0.023324565961956978,0.19635207951068878,0.0036294707097113132,1.686392903327942,0.9404970407485962,0.0004533855535555631,0.19493189454078674,0.012545923702418804,0.04046879451163113,0.05822731838189065,0.001813322772643005,0.0026391253788024187,0.025653663359582423,0.125531698577106,0.041937147517688574,0.0433401241209358,-0.017758523870259522,-0.09987803521752357,0.0,-0.0014029766032472232,True,True,False,True,0.0,0.017758523870259522,0.0,0.09987803521752357,0.0,-0.0,0.0,0.0014029766032472232,FB -> FB,unresponsive -> FB,FB -> FB,unresponsive -> FB,-0.017758523870259522,-0.09987803521752357,0.0,-0.0014029766032472232,True,True,11,o,"ctx=(T,T)",-3.1420600259178433,-3.2648153310877666,-0.7769932724177305,-3.207260855303403,-1.6321864291283381,-0.7069644948761968,-2.44015670405806,0.22695876593994807,-0.026642566608633834,-3.3435323221253745,-0.7101170962861184,-1.9014973579368364,0
sobol,1,1.6741228103637695,0.7495217323303223,0.003885639598593116,1.9112697839736938,0.0005022474215365946,0.007934881374239922,0.06708443909883499,0.00033876916859298944,0.0006368401227518916,0.075953908264637,0.00030439451802521944,0.7687925696372986,0.6483282680213451,0.022137071564618964,1.0390481343269349,0.7305072632431984,0.09526680536568165,0.06679472686350346,1.0691150112748147,0.770630463629961,0.6483282680213451,0.028472078502178186,0.3085408710837365,0.29848454764485366,True,True,True,True,0.6483282680213451,0.0,0.028472078502178186,0.0,0.3085408710837365,0.0,0.29848454764485366,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.6483282680213451,0.028472078502178186,0.3085408710837365,0.29848454764485366,True,True,11,o,"ctx=(T,T)",0.22378731381670994,-0.1252157702949464,-2.4105374836129356,0.2813219939212979,-3.2990822841771315,-2.1004595615238917,-1.1733782070626464,-3.470096121715663,-3.195969582612067,-1.1194498742818264,-3.51656317323141,-0.1141908227655178,1
sobol,2,0.07020924240350723,0.004006662406027317,0.7406843900680542,0.013805846683681011,0.0037382785230875015,0.0008313845610246062,0.0006511254468932748,0.006166507955640554,0.0014236681163311005,0.2101060152053833,0.012772574089467525,0.023325476795434952,0.31708204713463783,0.2856152418553829,0.014515939556091326,0.01586383567750454,0.3439901234358549,0.34421873566508293,0.04336939911078662,0.05145023478940129,0.03146680527925494,-0.00022861222922804236,0.0,-0.008080835678614673,True,True,False,True,0.03146680527925494,0.0,0.0,0.00022861222922804236,0.0,-0.0,0.0,0.008080835678614673,FF -> FB,unresponsive -> FB,FF -> FB,unresponsive -> FB,0.03146680527925494,-0.00022861222922804236,0.0,-0.008080835678614673,True,True,11,o,"ctx=(T,T)",-1.1536057132173043,-2.3972172488765215,-0.1303668080131055,-1.8599369538363872,-2.4273283443339313,-3.0801980446891695,-3.186335331485579,-2.2099607038641937,-2.846591241067872,-0.6775615138334103,-1.893721569440094,-1.632169470089071,2
sobol,3,0.004281372297555208,0.028396446257829666,0.000131664564833045,0.08582287281751633,1.5136303901672363,0.01631166972219944,0.20039550960063934,0.024865077808499336,0.01854824833571911,0.0017261221073567867,0.05329602584242821,0.00024586301879025996,0.0003506205904013768,0.0006046464724640827,0.029820341611281036,0.018850182056659833,0.04269619615282863,0.053583416441455485,0.07582109056785703,0.065456429079175,0.0,-0.010887220288626855,0.029820341611281036,0.010364661488682037,False,True,True,True,0.0,-0.0,0.0,0.010887220288626855,0.029820341611281036,0.0,0.010364661488682037,0.0,unresponsive -> FB,FF -> FF,unresponsive -> FB,FF -> FF,0.0,-0.010887220288626855,0.029820341611281036,0.010364661488682037,True,True,11,o,"ctx=(T,T)",-2.36841700534866,-1.5467360073890568,-3.8805310919187437,-1.0663969520742296,0.18001983876532762,-1.7875015807119192,-0.6981120142295072,-1.6044101774231483,-1.7316970981271886,-2.762928485170349,-1.273305174070092,-3.609306790265522,3
sobol,4,0.003266600426286459,0.0052634854800999165,0.010779077187180519,0.0187534149736166,0.26708972454071045,1.25562584400177,0.0002654977433849126,0.00229306030087173,0.006856146268546581,0.01774352416396141,0.0028484552167356014,0.0008131837239488959,0.0008226800713819103,0.000625310376397465,0.0016474497800372774,0.0015444286059646403,0.05637215625494719,0.06388021896965802,0.04231893008202314,0.042462128108367324,0.0,-0.007508062714710835,0.0,-0.00014319802634418094,False,True,False,True,0.0,-0.0,0.0,0.007508062714710835,0.0,-0.0,0.0,0.00014319802634418094,unresponsive -> FB,unresponsive -> FB,unresponsive -> FB,unresponsive -> FB,0.0,-0.007508062714710835,0.0,-0.00014319802634418094,True,True,11,o,"ctx=(T,T)",-2.4859039855955185,-2.278726570776064,-1.9674184181539374,-1.7269196362480692,-0.5733428198075652,0.09886024601482372,-3.5759391658806106,-2.639584524427713,-2.163919925777821,-1.7509601177084846,-2.5453906041088277,-3.0898113224465926,4
sobol,5,0.028828920796513557,0.07482451945543289,0.03823569416999817,0.0028634564951062202,0.007225344888865948,0.0015572471311315894,0.9902518391609192,0.10942856222391129,0.08687536418437958,0.00014573527732864022,0.02043195255100727,0.08224841207265854,0.026390150615014134,0.014307912681251764,0.03021473192051053,0.002879808350931853,0.08572226969897748,0.08819731502607465,0.07980874505639077,0.051047606844455,0.026390150615014134,-0.002475045327097178,0.03021473192051053,0.028761138211935766,True,True,True,True,0.026390150615014134,0.0,0.0,0.002475045327097178,0.03021473192051053,0.0,0.028761138211935766,0.0,FF -> FB,FF -> FF,FF -> FB,FF -> FF,0.026390150615014134,-0.002475045327097178,0.03021473192051053,0.028761138211935766,True,True,11,o,"ctx=(T,T)",-1.5401716150135123,-1.1259560636427854,-1.4175310207761351,-2.543109410797145,-2.1411414178092727,-2.8076424605404275,-0.004254342322612381,-0.9608693069126358,-1.0611033618212837,-3.836435308252585,-1.6896901286387864,-1.0848724779948775,5
sobol,6,0.17077404260635376,0.00020728808885905892,0.00036525673931464553,0.40969112515449524,0.00027879184926860034,0.00010509507410461083,0.009427265264093876,0.18096937239170074,0.20859447121620178,0.005388699006289244,0.7933666110038757,0.21330752968788147,0.06723284891620278,0.006502151078078896,0.1581989409402013,0.1569133421778679,0.030807993274182082,0.07781238435581327,0.20305282128602267,0.20775843521952628,0.06723284891620278,-0.04700439108163118,0.0012855987623333898,-0.004705613933503605,True,True,True,True,0.06723284891620278,0.0,0.0,0.04700439108163118,0.0012855987623333898,0.0,0.0,0.004705613933503605,FF -> FB,FF -> FB,FF -> FB,FF -> FB,0.06723284891620278,-0.04700439108163118,0.0012855987623333898,-0.004705613933503605,True,True,11,o,"ctx=(T,T)",-0.7675781407285872,-3.6834256525197633,-3.4374017621967847,-0.3875434437553678,-3.5547199273796766,-3.978417639245976,-2.025614272582158,-0.7423949197539772,-0.680697206705824,-2.2685160738837253,-0.10052608084939076,-0.6709938138230517,6
sobol,7,0.0001366638025501743,0.5733962059020996,0.16947335004806519,0.00013095495523884892,0.16716009378433228,0.10687621682882309,0.01494527980685234,0.00043442557216621935,0.00012714417243842036,0.9025232791900635,0.0008415867341682315,0.00372893619351089,0.06337810807302593,0.061714020578190684,0.16819292162358762,0.0014502833784208633,0.1294328864440322,0.12958416798710823,0.20345441748201848,0.040162869211286305,0.0016640874948352508,-0.0001512815430760317,0.16819292162358762,0.16329154827073217,True,True,True,True,0.0016640874948352508,0.0,0.0,0.0001512815430760317,0.16819292162358762,0.0,0.16329154827073217,0.0,FF -> FB,FF -> FF,FF -> FB,FF -> FF,0.0016640874948352508,-0.0001512815430760317,0.16819292162358762,0.16329154827073217,True,True,11,o,"ctx=(T,T)",-3.864346499583016,-0.2415451850575382,-0.7708985855849683,-3.8828780635451836,-0.7768673938696024,-0.9711189276178304,-1.8254959496488274,-3.3620846182170827,-3.8957035406069243,-0.044541587324353864,-3.0749011188687367,-2.4284150478650837,7
sobol,8,0.0003193170705344528,0.0017744352808222175,0.0008891872130334377,0.0012063845060765743,0.0007235156954266131,0.044599466025829315,0.00010553082393016666,0.001296109869144857,0.009694204665720463,0.0032464666292071342,0.00041772102122195065,0.004734822548925877,0.0024959604272153228,0.002755535897333175,0.0031387272691354154,0.0023004542973358182,0.0759116785004735,0.07622726415470242,0.04989008064195514,0.05010324136912823,0.0,-0.00031558565422891427,0.0,-0.00021316072717308954,False,True,False,True,0.0,-0.0,0.0,0.00031558565422891427,0.0,-0.0,0.0,0.00021316072717308954,unresponsive -> FB,unresponsive -> FB,unresponsive -> FB,unresponsive -> FB,0.0,-0.00031558565422891427,0.0,-0.00021316072717308954,True,True,11,o,"ctx=(T,T)",-3.4957778636693,-2.750939836099063,-3.051006791304747,-2.91851424920031,-3.1405520431721268,-1.3506703409162,-3.976620671100199,-2.8873581824616448,-2.0134878156164837,-2.488589056929739,-3.3791136689269305,-2.324696292788779,8
sobol,9,0.4009524881839752,0.01870744116604328,0.4457932114601135,0.02797652594745159,0.03369243070483208,0.0004837418964598328,1.3351783752441406,0.06185257062315941,0.11246348917484283,0.38757267594337463,1.7055275440216064,1.4732624292373657,0.3264957853853703,0.16706618030369283,0.015342897048220039,0.013413297854363918,0.011023189844563604,0.2290246901065111,0.0010354935491341166,0.05186559196189046,0.15942960508167744,-0.2290246901065111,0.0,-0.05186559196189046,True,True,False,True,0.15942960508167744,0.0,0.0,0.2290246901065111,0.0,-0.0,0.0,0.05186559196189046,FF -> FB,unresponsive -> FB,FF -> FB,unresponsive -> FB,0.15942960508167744,-0.2290246901065111,0.0,-0.05186559196189046,True,True,11,o,"ctx=(T,T)",-0.39690708708560557,-1.7279856119369699,-0.3508665492426374,-1.5532062160602316,-1.4724676561718715,-3.3153862971198143,0.12553928982742532,-1.208642246168189,-0.9489884466502521,-0.4116468485080352,0.23185873759272624,0.16828011372539628,9
sobol,10,0.01681385189294815,0.0011434684274718165,0.004427783191204071,0.00018619174079503864,0.6345818042755127,0.007343411911278963,0.007012353744357824,0.3527460992336273,0.5556804537773132,0.13944049179553986,0.03938455507159233,0.03035821206867695,0.0003700545067549683,0.0013922237482620404,0.0003103615714935586,0.001022596966358833,0.0006657917374395765,0.07656187145039439,0.022292983648367227,0.04843865587376058,0.0,-0.07656187145039439,0.0,-0.04843865587376058,False,True,False,True,0.0,-0.0,0.0,0.07656187145039439,0.0,-0.0,0.0,0.04843865587376058,unresponsive -> FB,unresponsive -> FB,unresponsive -> FB,unresponsive -> FB,0.0,-0.07656187145039439,0.0,-0.04843865587376058,True,True,11,o,"ctx=(T,T)",-1.7743327824427433,-2.941775822280728,-2.3538136527366147,-3.730039587622635,-0.1975123848294162,-2.1341021103897386,-2.1541361836581685,-0.4525377800985689,-0.25517487938153005,-0.8556110941732171,-1.4046740564037228,-1.5177238095740746,10
sobol,11,0.0018959746230393648,1.239030361175537,0.014535749331116676,0.18121224641799927,0.0015601359773427248,0.4598308801651001,0.03749414160847664,0.0008467846782878041,0.000310088275000453,0.0008485604776069522,0.0014674296835437417,0.00013663199206348509,0.015200798805803061,0.004252546430565417,0.5518021982312202,0.058349041930167,0.07383944306522608,0.07692390693351626,0.6036239467561245,0.10844763071648776,0.0,-0.0030844638682901854,0.49345315630105324,0.49517631603963674,False,True,True,True,0.0,-0.0,0.0,0.0030844638682901854,0.49345315630105324,0.0,0.49517631603963674,0.0,unresponsive -> FB,FF -> FF,unresponsive -> FB,FF -> FF,0.0,-0.0030844638682901854,0.49345315630105324,0.49517631603963674,True,True,11,o,"ctx=(T,T)",-2.722167479839581,0.09308194844987104,-1.837562575040383,-0.7418124558201281,-2.8068375480326986,-0.3374018668314653,-1.4260365846954712,-3.072227008700877,-3.508514654913506,-3.071317199716384,-2.833442700152301,-3.8644475997036216,11
sobol,12,0.010003536008298397,0.00013581931125372648,1.9483336210250854,0.7973294258117676,0.0089713828638196,0.07257968187332153,0.0014184343162924051,0.8325007557868958,1.4143069982528687,1.6628309488296509,0.0966746136546135,0.0004977570497430861,0.743038777410984,0.7350239420831204,0.2857513934895396,0.29810743007063867,0.033394131392240525,0.5894157762527465,0.0035189389046863654,0.25181238240003584,0.008014835327863623,-0.556021644860506,-0.012356036581099072,-0.25181238240003584,True,True,True,True,0.008014835327863623,0.0,0.0,0.556021644860506,0.0,0.012356036581099072,0.0,0.25181238240003584,FF -> FB,FB -> FB,FF -> FB,FB -> FB,0.008014835327863623,-0.556021644860506,-0.012356036581099072,-0.25181238240003584,True,True,11,o,"ctx=(T,T)",-1.9998464602550954,-3.867038476191939,0.28966332490630486,-0.09836220777186644,-2.047140608924998,-1.1391849397034397,-2.8481907703596554,-0.07961536354665234,0.15054369034890355,0.22084809905576483,-1.0146875548432572,-3.3029825803355304,12
sobol,13,0.1648402214050293,0.2528696060180664,0.00032052805181592703,0.0009347515879198909,0.32993966341018677,0.0003354041837155819,0.09199494123458862,0.000167235906701535,0.0007675847737118602,0.01012274157255888,0.007228229194879532,0.10101934522390366,0.061687171388417485,0.0012722666301997379,0.09525828841328621,0.0012228145704139023,0.07296525084972381,0.07325256056711078,0.14369834652543068,0.047565452428534626,0.061687171388417485,-0.00028730971738696875,0.09525828841328621,0.09613289409689604,True,True,True,True,0.061687171388417485,0.0,0.0,0.00028730971738696875,0.09525828841328621,0.0,0.09613289409689604,0.0,FF -> FB,FF -> FF,FF -> FB,FF -> FF,0.061687171388417485,-0.00028730971738696875,0.09525828841328621,0.09613289409689604,True,True,11,o,"ctx=(T,T)",-0.7829368108247248,-0.5971033680929092,-3.494133956111632,-3.029303788410426,-0.48156547298222263,-3.474431524457247,-1.0362360536795339,-3.776670470867447,-3.114873648786104,-1.994701850284178,-2.1409680851518704,-0.9955954507768182,13
