reference_name,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,W_pv_00,W_pv_01,W_pv_10,W_pv_11,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,familiar_transition_label,novel_transition_label,familiar_transition_point_x,familiar_transition_point_y,novel_transition_point_x,novel_transition_point_y
un_un,False,False,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.9,0.1,0.1,0.9,6.098811763083467e-06,8.47699525553196e-05,1.4899145191651981e-05,3.5174777846190974e-05,9.343028172599795e-06,6.781552204765973e-05,1.6052760665812393e-05,3.149859285309778e-05,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0
un_FF,True,True,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.1,0.0,0.0,0.1,0.006064679621718824,0.004384683503303677,0.006286279911641031,0.0039096036828123034,0.07293208124861121,0.07640497202053666,0.05374451161548495,0.05244442795030773,0.0,-0.0034728907719254465,0.0,0.0013000836651772193,False,True,False,True,0.0,-0.0,0.0,0.0034728907719254465,0.0,-0.0,0.0013000836651772193,0.0,unresponsive -> FB,unresponsive -> FF,unresponsive -> FB,unresponsive -> FF,0.0,-0.0034728907719254465,0.0,0.0013000836651772193
un_FB,True,True,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.9,0.1,0.1,0.9,4.078027056223219e-06,0.000244895911958821,1.3373044966525484e-05,5.689514961659903e-05,1.654557109740775e-05,0.029580914234742524,4.712382322452413e-05,0.018615166328847407,0.0,-0.029580914234742524,0.0,0.0,False,True,False,False,0.0,-0.0,0.0,0.029580914234742524,0.0,-0.0,0.0,-0.0,unresponsive -> FB,unresponsive -> unresponsive,unresponsive -> FB,unresponsive -> unresponsive,0.0,-0.029580914234742524,0.0,0.0
FF_un,False,False,0.5,0.5,1e-07,1e-07,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.15479097659885882,0.0012853938298067078,0.15614786357432603,0.0010555842582834884,0.005010812939144671,0.0011972479117102921,0.1458232259452343,0.0007986100386078761,0.15479097659885882,0.0,0.15614786357432603,0.1458232259452343,True,False,True,True,0.15479097659885882,0.0,0.0,-0.0,0.15614786357432603,0.0,0.1458232259452343,0.0,FF -> unresponsive,FF -> FF,FF -> unresponsive,FF -> FF,0.15479097659885882,0.0,0.15614786357432603,0.1458232259452343
FF_FF,False,False,0.5,0.5,1e-07,1e-07,0.05,0.05,0.05,0.05,0.1,0.0,0.0,0.1,0.18917534501105546,0.0015831050877459347,0.1908849628791213,0.0013960725456709042,0.020001677653752267,0.0016671393900178372,0.18880563286691904,0.00126084005474695,0.18917534501105546,0.0,0.1908849628791213,0.18880563286691904,True,False,True,True,0.18917534501105546,0.0,0.0,-0.0,0.1908849628791213,0.0,0.18880563286691904,0.0,FF -> unresponsive,FF -> FF,FF -> unresponsive,FF -> FF,0.18917534501105546,0.0,0.1908849628791213,0.18880563286691904
FF_FB_broad,True,True,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.9,0.1,0.1,0.9,0.09835278385132551,0.012868601247435435,0.09862790922820568,0.011771633192431182,0.010082423586398364,0.08530670027434827,0.13600149255245925,0.0600904852245003,0.09835278385132551,-0.08530670027434827,0.09862790922820568,0.07591100732795894,True,True,True,True,0.09835278385132551,0.0,0.0,0.08530670027434827,0.09862790922820568,0.0,0.07591100732795894,0.0,FF -> FB,FF -> FF,FF -> FB,FF -> FF,0.09835278385132551,-0.08530670027434827,0.09862790922820568,0.07591100732795894
FF_FB_narrow_familiar,True,True,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5,0.9,0.1,0.1,0.9,0.11430342364311218,0.0005674263951568718,0.0008678758337700856,0.00025993891585403614,0.013345507439225912,0.04051829104218632,0.0006818913622118998,0.02679996691364795,0.11430342364311218,-0.04051829104218632,0.0,-0.02679996691364795,True,True,False,True,0.11430342364311218,0.0,0.0,0.04051829104218632,0.0,-0.0,0.0,0.02679996691364795,FF -> FB,unresponsive -> FB,FF -> FB,unresponsive -> FB,0.11430342364311218,-0.04051829104218632,0.0,-0.02679996691364795
FF_FB_narrow_novel,True,True,0.01,0.9,0.01,0.15,0.3,0.3,0.3,0.3,0.9,0.1,0.1,0.9,0.004049287195783109,0.002350096762296744,0.28308757227659226,0.046770918967202306,0.00469818161521107,0.07373838710412384,0.3280100004673004,0.09733467821404337,0.0,-0.07373838710412384,0.23631665330938995,0.23067532225325701,False,True,True,True,0.0,-0.0,0.0,0.07373838710412384,0.23631665330938995,0.0,0.23067532225325701,0.0,unresponsive -> FB,FF -> FF,unresponsive -> FB,FF -> FF,0.0,-0.07373838710412384,0.23631665330938995,0.23067532225325701
FB_FB,True,True,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,1.0,0.2,0.2,1.0,7.70458397293674e-05,0.09686200684309006,0.00013580552703765076,0.0944912900403142,0.00033039371800009575,0.12801557560265064,0.00030184987704706147,0.11821785314381122,-0.09686200684309006,-0.12801557560265064,-0.0944912900403142,-0.11821785314381122,True,True,True,True,0.0,0.09686200684309006,0.0,0.12801557560265064,0.0,0.0944912900403142,0.0,0.11821785314381122,FB -> FB,FB -> FB,FB -> FB,FB -> FB,-0.09686200684309006,-0.12801557560265064,-0.0944912900403142,-0.11821785314381122
