image_type,context_mode,context_label,transition_label_a,transition_label_b,edge_count,median_log10_param_distance,median_mid_naive_state,median_mid_expert_state,median_left_purity,median_right_purity
novel,10,"ctx=(T,F)",FB -> FB,unresponsive -> unresponsive,35,4.035946903549752,-0.0027149841733044,-0.01563907166570425,0.8125,0.0
novel,10,"ctx=(T,F)",FB -> unresponsive,unresponsive -> unresponsive,30,4.553199104591124,-0.0146476008892059,0.0,0.0,0.875
novel,10,"ctx=(T,F)",unresponsive -> FF,unresponsive -> unresponsive,29,3.9399377327187564,0.0,0.0142123254491016,0.0,0.65625
novel,10,"ctx=(T,F)",FF -> FF,unresponsive -> FF,22,4.237772998917172,0.12743423535116016,0.09775902481470253,0.0,0.5
novel,10,"ctx=(T,F)",FB -> FB,FF -> FF,8,4.355798075664964,0.10062085415015459,0.06741178648732603,0.375,0.0
novel,10,"ctx=(T,F)",FF -> unresponsive,unresponsive -> FF,2,4.21312704854441,0.0392059330125921,0.0142123254491016,0.0,0.015625
novel,10,"ctx=(T,F)",FB -> unresponsive,FF -> FF,2,4.548719642905578,0.04036973932292315,0.04165229410072785,0.0,0.515625
novel,10,"ctx=(T,F)",FB -> FB,FF -> unresponsive,2,4.756100594396333,0.01586444996122735,-0.01563907166570425,0.03125,0.0
familiar,1,"ctx=(F,T)",FF -> unresponsive,unresponsive -> unresponsive,2435,4.210810140536333,0.0378242563921958,0.0,0.5,0.5
familiar,1,"ctx=(F,T)",FF -> FF,unresponsive -> unresponsive,818,4.254261644569567,0.18622296173125505,0.0184584264196455,0.5,0.25
familiar,1,"ctx=(F,T)",FF -> FF,FF -> unresponsive,707,4.209953286985009,0.2775569055303931,0.02024323822557925,0.25,0.25
familiar,1,"ctx=(F,T)",FF -> FB,FF -> unresponsive,34,4.123711983740396,0.0896273157345131,-0.01534806690365075,0.34375,0.0
familiar,1,"ctx=(F,T)",FF -> FB,unresponsive -> unresponsive,29,4.183092018450601,0.0462770648598671,-0.01534806690365075,0.65625,0.0
familiar,1,"ctx=(F,T)",FB -> FB,unresponsive -> unresponsive,20,4.130471631825851,-8.884907141325e-05,-0.01368017625436185,0.0,0.671875
familiar,1,"ctx=(F,T)",FB -> FB,FF -> unresponsive,12,4.369589447674505,0.06569135147146882,-0.01368017625436185,0.28125,0.0
familiar,1,"ctx=(F,T)",FF -> FB,FF -> FF,6,4.003061319153753,0.24374114806763827,0.02002636682009325,0.0625,0.0625
familiar,1,"ctx=(F,T)",FB -> FB,FF -> FF,3,3.546200450619579,0.1279013077132404,0.002728823430836202,0.0,0.1875
novel,1,"ctx=(F,T)",FF -> FF,unresponsive -> FF,1842,4.168140420297212,0.025290798578877,0.029264963339082843,0.46875,0.46875
novel,1,"ctx=(F,T)",unresponsive -> FB,unresponsive -> FF,1216,4.145423033315821,0.0,-0.002208599781151836,0.34375,0.375
novel,1,"ctx=(F,T)",FF -> FF,unresponsive -> FB,1065,4.25272857087175,0.02444913973286745,0.01543622627761214,0.40625,0.4375
novel,1,"ctx=(F,T)",FB -> FB,FF -> FF,696,4.214924011123214,0.0020405505979433506,0.0006557469004764749,0.3125,0.40625
novel,1,"ctx=(F,T)",FB -> FB,unresponsive -> FB,453,4.212175207422263,-0.0100926964357495,-0.0266268183663487,0.28125,0.28125
novel,1,"ctx=(F,T)",FB -> FB,unresponsive -> FF,253,4.2225643237136525,-0.00502408057823775,-0.0048872925499454,0.28125,0.25
novel,1,"ctx=(F,T)",FF -> FB,FF -> FF,68,4.337778776718613,0.0188454031804576,0.0057345274719409495,0.40625,0.0625
novel,1,"ctx=(F,T)",FB -> FF,FF -> FF,56,4.083926255129992,0.0031678905806038753,0.004781430984847225,0.0,0.359375
novel,1,"ctx=(F,T)",FB -> FB,FF -> FB,39,4.289783796357229,-0.00010193753987554951,-0.0128962843324989,0.21875,0.0625
novel,1,"ctx=(F,T)",FF -> FB,unresponsive -> FB,32,4.29716789692892,0.00504480940476055,-0.008364223573356824,0.1875,0.0625
novel,1,"ctx=(F,T)",FB -> FF,unresponsive -> FF,31,4.1722862963299905,-0.0002337709087878,0.00175202269293365,0.0,0.15625
novel,1,"ctx=(F,T)",FF -> FB,unresponsive -> FF,30,4.317279237985965,0.00504480940476055,-0.00029822472995147506,0.34375,0.0625
novel,1,"ctx=(F,T)",FB -> FF,unresponsive -> FB,25,4.350183552173397,-0.0002337709087878,-0.00245479609863835,0.0,0.25
novel,1,"ctx=(F,T)",unresponsive -> FB,unresponsive -> unresponsive,13,4.357439255224713,0.0,-0.0069751402363181,0.34375,0.0
novel,1,"ctx=(F,T)",FB -> FB,FB -> FF,12,4.226131179713357,-0.005298948989016875,-0.005191898616962125,0.0625,0.046875
novel,1,"ctx=(F,T)",unresponsive -> FF,unresponsive -> unresponsive,12,4.652680786895828,0.0,0.001354698730166975,0.40625,0.0
novel,1,"ctx=(F,T)",FF -> FF,unresponsive -> unresponsive,6,4.760048495284373,0.13945271582528948,0.13892974636895813,0.6875,0.0
novel,1,"ctx=(F,T)",FB -> FF,FF -> FB,1,4.810214166284945,0.00040938705392184994,-7.09862858057e-05,0.0,0.0
novel,1,"ctx=(F,T)",FB -> FB,unresponsive -> unresponsive,1,5.074986596405496,-0.01181467522680755,-0.0114570233672857,0.15625,0.0
familiar,0,"ctx=(F,F)",FF -> unresponsive,unresponsive -> unresponsive,2494,4.206189188050869,0.03876007523573935,0.0,0.5,0.53125
familiar,0,"ctx=(F,F)",FF -> FF,unresponsive -> unresponsive,707,4.254789752883331,0.1951509496718645,0.0189013577569276,0.53125,0.25
familiar,0,"ctx=(F,F)",FF -> FF,FF -> unresponsive,686,4.212030143726226,0.28229020666424187,0.01982964446861295,0.25,0.25
novel,0,"ctx=(F,F)",FF -> FF,unresponsive -> unresponsive,2862,4.225630804149624,0.06570519866421815,0.0650409284047782,0.625,0.625
novel,0,"ctx=(F,F)",FF -> unresponsive,unresponsive -> unresponsive,210,4.2427331667639425,0.01336290015280245,0.0,0.65625,0.03125
novel,0,"ctx=(F,F)",FF -> FF,FF -> unresponsive,92,4.172413902435623,0.08766176532348613,0.06962757544033224,0.4375,0.03125
