candidate_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_transition,novel_transition,target,objective,normalized_rmse,mismatch_penalty,transition_score_familiar,transition_score_novel
301,0.00025071724667213857,0.00013617065269500017,0.7379155158996582,0.6599348783493042,1.1465855836868286,0.8325139880180359,1.2303849458694458,2.0,0.0026840763098637884,0.06528042609182497,0.002759981831089438,0.057276642865811786,0.0013864980021025986,0.0724428191781044,0.006943332658071692,0.05923916910154124,FB -> FB,FB -> FB,FB_FB,-0.9732927554287014,0.5690978169441223,0,0.08772324526992936,0.06651581196735303
299,9.999999747378752e-05,0.00019076114404015243,0.9373970627784729,0.48918238282203674,1.7945655584335327,1.528635025024414,0.8697614669799805,0.9968608021736145,0.0009678833649862402,0.08352714961705109,0.0,0.04172398329246789,0.0006866121662217968,0.09186983599017064,0.0009823532456114967,0.04267468652687967,FB -> FB,FB -> FB,FB_FB,-0.7778369945008305,0.8201195597648621,0,0.1253969856072217,0.034398669819347555
7,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,0.00042561749047915023,0.04366224513699611,0.0,0.040454592237559456,0.00043705765524464367,0.04979309580909709,0.0006944645444794636,0.042092817711333434,FB -> FB,FB -> FB,FB_FB,-0.7500668733846396,0.00996063556522131,0,0.0434553409460932,0.03254740994889289
281,0.0024572457186877728,0.027994101867079735,0.8052815198898315,0.3897058665752411,2.0,0.00044833633000962436,0.19495554268360138,0.2954982817173004,0.003150267796202873,0.11722898920997978,0.02875632105472808,0.05813592048361897,0.0019853985507021815,0.13390561767543355,0.045876913028769194,0.056717846620207034,FB -> FB,FB -> FB,FB_FB,-0.6272359579258286,1.7863154411315918,0,0.20113460688541332,0.04022053302032873
287,0.00754923140630126,0.005656114313751459,0.337212473154068,0.5806341767311096,0.02658919245004654,0.8972395062446594,0.0075244721956551075,0.01736719347536564,0.04014941315787534,0.05446366642912229,0.0033473296052155396,0.09456767736313244,0.034576326096430424,0.0643517777013282,0.006254188019859915,0.10007162968007227,FB -> FB,FB -> FB,FB_FB,-0.5143928518518806,1.3728972673416138,0,0.04408970487614473,0.1446393070432047
295,0.0025830792728811502,0.008798186667263508,0.6221122145652771,0.957232654094696,0.03194236755371094,1.4984056949615479,0.01673787832260132,0.003528834320604801,0.07735529200484355,0.10091308102322122,0.0051631507618973655,0.15614699457461637,0.05973657579161227,0.10967762436096867,0.009082888908839475,0.15924035695691904,FB -> FB,FB -> FB,FB_FB,-0.43803167001654764,2.9508302211761475,0,0.07349883758773407,0.2653873515315354
292,0.00018902512965723872,0.00016234751092270017,0.5110347270965576,0.6343422532081604,2.0,0.6691591143608093,2.0,2.0,0.0008261412840511184,0.03276454916534324,0.003808927933278028,0.03882757547932367,0.00043818981960915454,0.039019604966354864,0.007728259263482566,0.03917867431106667,FB -> FB,FB -> FB,FB_FB,-0.2448030777741223,0.2531009614467621,0,0.021784154131698104,0.028006249790390333
303,0.0012955343117937446,0.04603811353445053,2.0,0.6415038108825684,1.9561200141906738,0.0005638287984766066,0.27149415016174316,0.09981987625360489,0.04989732280373573,0.2900711122279366,0.07003368837758898,0.0994232519219319,0.02130181626416743,0.2961763565118114,0.08293227947627504,0.0954244547833999,FB -> FB,FB -> FB,FB_FB,-0.1953628237048779,5.336956024169922,0,0.5113501459360122,0.04188173885146777
298,0.31137534976005554,0.0008609435171820223,1.3828855752944946,0.8159579634666443,1.5224155187606812,0.20342929661273956,0.002955410163849592,0.00023737912124488503,0.06169716650620103,0.22277834881097078,0.0790745428452889,0.13567454082270464,0.015157463983632624,0.23492932170629502,0.09236084604635834,0.13328103615591924,FB -> FB,FB -> FB,FB_FB,-0.15763033864398857,4.527676582336426,0,0.3710105040110648,0.09752018808697663
60,0.0032988388556987047,0.009296917356550694,0.5417863726615906,0.6616261601448059,0.016642976552248,1.089050054550171,0.009787969291210175,0.005439395550638437,0.07227755123749376,0.08819973715581,0.0037235327530652285,0.10813904569173853,0.057313427903379004,0.09720900435931981,0.0064945755914474525,0.11254289147133628,FB -> FB,FB -> FB,FB_FB,-0.15547822897012065,2.1095187664031982,0,0.055817762374257056,0.1706819371630748
