transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
post,familiar,1,1,101,Full,Pre,0.173684397428429
post,familiar,1,1,102,Full,Pre,0.321557932441356
post,familiar,1,1,103,Full,Pre,0.0145243632718477
post,familiar,1,1,104,Full,Pre,-0.0529345163469893
post,familiar,1,1,105,Full,Pre,0.760337005702582
post,familiar,1,1,106,Full,Pre,0.115261094279478
post,familiar,1,1,107,Full,Pre,0.769455533061919
post,familiar,1,1,108,Full,Pre,0.824352168991285
post,familiar,1,1,109,Full,Pre,-0.0174993069676428
post,familiar,1,1,110,Full,Pre,0.279364916280252
post,familiar,1,1,111,Full,Pre,-0.273161065247124
post,familiar,1,1,112,Full,Pre,-0.0399688799833313
post,familiar,1,1,113,Full,Pre,0.108786568764013
post,familiar,1,1,114,Full,Pre,-0.0769542235455097
post,familiar,1,1,115,Full,Pre,0.625545196257523
post,familiar,1,1,116,Full,Pre,1.62287045898085
post,familiar,1,1,117,Full,Pre,0.138487910196289
post,familiar,1,1,118,Full,Pre,0.790139046396309
post,familiar,1,1,119,Full,Pre,-0.248428857731608
post,familiar,1,1,120,Full,Pre,0.169932501159671
post,familiar,1,1,121,Full,Pre,0.448359022634392
post,familiar,1,1,122,Full,Pre,0.142089957081353
post,familiar,1,1,123,Full,Pre,0.503348432300765
post,familiar,1,1,124,Full,Pre,0.0473252542063536
post,familiar,1,1,125,Full,Pre,-0.486958271137426
post,familiar,1,1,126,Full,Pre,0.511317383424897
post,familiar,1,1,127,Full,Pre,0.611702800817468
post,familiar,1,1,128,Full,Pre,-0.509408830357391
post,familiar,1,1,129,Full,Pre,-0.318870534592344
post,familiar,1,1,130,Full,Pre,0.442267309368601
post,familiar,1,1,131,Full,Pre,-0.537109963005739
post,familiar,1,1,132,Full,Pre,-0.134271775456852
post,familiar,1,1,133,Full,Pre,-0.73421960294299
post,familiar,1,1,134,Full,Pre,-0.0168893344548334
post,familiar,1,1,135,Full,Pre,2.64645020618719
post,familiar,1,1,136,Full,Pre,0.78763001790843
post,familiar,1,1,137,Full,Pre,0.375554206878354
post,familiar,1,1,138,Full,Pre,0.0958947710647162
post,familiar,1,1,139,Full,Pre,0.505372961214028
post,familiar,1,1,140,Full,Pre,0.0298774456448972
post,familiar,1,1,141,Full,Pre,0.0220369403432369
post,familiar,1,1,142,Full,Pre,0.080032697253523
post,familiar,1,1,143,Full,Pre,0.55629616007706
post,familiar,1,1,144,Full,Pre,-0.0990467169527196
post,familiar,1,1,145,Full,Pre,0.286662760626972
post,familiar,1,1,146,Full,Pre,0.518454961284272
post,familiar,1,1,147,Full,Pre,-0.297752912813245
post,familiar,1,1,148,Full,Pre,0.799577817525647
post,familiar,1,1,149,Full,Pre,1.21815819644188
post,familiar,1,1,150,Full,Pre,-0.228256742098323
post,familiar,1,1,151,Full,Pre,0.187581586406007
post,familiar,1,1,152,Full,Pre,-0.0380820897909591
post,familiar,1,1,153,Full,Pre,0.00400617987910222
post,familiar,1,1,154,Full,Pre,0.228832888561978
post,familiar,1,1,155,Full,Pre,0.355268317823254
post,familiar,1,1,156,Full,Pre,0.23802316392311
post,familiar,1,1,157,Full,Pre,0.5416799551959
post,familiar,1,1,158,Full,Pre,0.349228999009912
post,familiar,1,1,159,Full,Pre,1.17926692602988
post,familiar,1,1,160,Full,Pre,0.411618373881203
post,familiar,1,1,161,Full,Pre,1.48804931796098
post,familiar,1,1,162,Full,Pre,0.0514309016908409
post,familiar,1,1,163,Full,Pre,0.516485997626609
post,familiar,1,1,164,Full,Pre,0.125742599816202
post,familiar,1,1,165,Full,Pre,0.792898400157861
post,familiar,1,1,166,Full,Pre,0.922360243683232
post,familiar,2,2,1,Full,Pre,0.181006123820996
post,familiar,2,2,2,Full,Pre,0.147830340146495
post,familiar,2,2,3,Full,Pre,-0.225271364493194
post,familiar,2,2,4,Full,Pre,1.71654016310424
post,familiar,2,2,5,Full,Pre,1.67498015494455
post,familiar,2,2,6,Full,Pre,0.157745662667398
post,familiar,2,2,7,Full,Pre,0.453458501411515
post,familiar,2,2,8,Full,Pre,0.75598910133742
post,familiar,2,2,9,Full,Pre,0.318330535887822
post,familiar,2,2,10,Full,Pre,-0.0212766991832415
post,familiar,2,2,11,Full,Pre,-0.0699524542523621
post,familiar,2,2,12,Full,Pre,0.585367821195661
post,familiar,2,2,13,Full,Pre,2.69031470918516
post,familiar,2,2,14,Full,Pre,-0.16070069336647
post,familiar,2,2,15,Full,Pre,0.297718001653467
post,familiar,2,2,16,Full,Pre,4.26768762381257
post,familiar,2,2,17,Full,Pre,2.80998347030776
post,familiar,2,2,18,Full,Pre,0.127948031246808
post,familiar,2,2,19,Full,Pre,-0.012251574534453
post,familiar,2,2,20,Full,Pre,1.4831774379274
post,familiar,2,2,21,Full,Pre,1.63279210650481
post,familiar,2,2,22,Full,Pre,0.00292037900874217
post,familiar,2,2,23,Full,Pre,2.79348874973436
post,familiar,2,2,24,Full,Pre,1.59378359161831
post,familiar,2,2,25,Full,Pre,2.6420580211908
post,familiar,2,2,26,Full,Pre,-0.0959056689725597
post,familiar,2,2,27,Full,Pre,0.013684557475433
post,familiar,2,2,28,Full,Pre,0.093076266463194
post,familiar,2,2,29,Full,Pre,-0.0643659686186542
post,familiar,2,2,30,Full,Pre,-0.0285423253428659
post,familiar,2,2,31,Full,Pre,0.0978194730170452
post,familiar,2,2,32,Full,Pre,0.15492309299535
post,familiar,2,2,33,Full,Pre,-0.22609353542403
post,familiar,2,2,34,Full,Pre,0.135518239547545
post,familiar,2,2,35,Full,Pre,-0.0699228746648399
post,familiar,2,2,36,Full,Pre,-0.184116499293355
post,familiar,2,2,37,Full,Pre,-0.102682529030438
post,familiar,2,2,38,Full,Pre,1.49156608835182
post,familiar,2,2,39,Full,Pre,2.38034673633982
post,familiar,2,2,40,Full,Pre,-0.0323288910840095
post,familiar,2,2,41,Full,Pre,-0.29613393170008
post,familiar,2,2,42,Full,Pre,0.0261021189790911
post,familiar,2,2,43,Full,Pre,0.179933681182014
post,familiar,2,2,44,Full,Pre,-0.127029801789535
post,familiar,2,2,45,Full,Pre,1.62361332571865
post,familiar,2,2,46,Full,Pre,3.97100264460289
post,familiar,2,2,47,Full,Pre,0.0970322492565509
post,familiar,2,2,48,Full,Pre,-0.168636932268779
post,familiar,2,2,49,Full,Pre,-0.0566787213549599
post,familiar,2,2,50,Full,Pre,2.94757286235493
post,familiar,2,2,51,Full,Pre,3.20657907189951
post,familiar,2,2,52,Full,Pre,0.411047975215298
post,familiar,2,2,53,Full,Pre,-0.295328835777845
post,familiar,2,2,54,Full,Pre,0.168431179766163
post,familiar,2,2,55,Full,Pre,0.0179630816069898
post,familiar,2,2,56,Full,Pre,-0.0210463319447783
post,familiar,2,2,57,Full,Pre,0.112900178483227
post,familiar,2,2,58,Full,Pre,3.44379395215044
post,familiar,2,2,59,Full,Pre,-0.203967840989069
post,familiar,2,2,60,Full,Pre,0.00700064027563499
post,familiar,2,2,61,Full,Pre,0.186421427881666
post,familiar,2,2,62,Full,Pre,0.381645236685452
post,familiar,2,2,63,Full,Pre,4.1183771769608
post,familiar,2,2,64,Full,Pre,1.01690923388207
post,familiar,2,2,65,Full,Pre,0.145401545130955
post,familiar,2,2,66,Full,Pre,0.852620454825544
post,familiar,2,2,67,Full,Pre,0.127893085420126
post,familiar,2,2,68,Full,Pre,0.210690108968245
post,familiar,2,2,69,Full,Pre,0.209516413183295
post,familiar,2,2,70,Full,Pre,-0.364170446953207
post,familiar,2,2,71,Full,Pre,0.669935053765762
post,familiar,2,2,72,Full,Pre,0.261082916151146
post,familiar,2,2,73,Full,Pre,-0.00870143098582428
post,familiar,2,2,74,Full,Pre,0.179743220380673
post,familiar,2,2,75,Full,Pre,0.067127015385413
post,familiar,2,2,76,Full,Pre,0.0631860491077973
post,familiar,2,2,77,Full,Pre,-0.077789949442828
post,familiar,2,2,78,Full,Pre,-0.230550661975788
post,familiar,2,2,79,Full,Pre,0.0843635016072062
post,familiar,2,2,80,Full,Pre,0.767030816257246
post,familiar,2,2,81,Full,Pre,-0.186123555835143
post,familiar,2,2,82,Full,Pre,0.369665413630842
post,familiar,2,2,83,Full,Pre,-0.0399280720475588
post,familiar,2,2,84,Full,Pre,1.33255111378168
post,familiar,2,2,85,Full,Pre,0.504399110833416
post,familiar,2,2,86,Full,Pre,0.167457102613303
post,familiar,2,2,87,Full,Pre,0.473463959672337
post,familiar,2,2,88,Full,Pre,0.0140657630846507
post,familiar,2,2,89,Full,Pre,0.741812137636653
post,familiar,2,2,90,Full,Pre,0.443621393061868
post,familiar,2,2,91,Full,Pre,-0.0369693847104686
post,familiar,2,2,92,Full,Pre,-0.057777431648068
post,familiar,2,2,93,Full,Pre,0.251529198174429
post,familiar,2,2,94,Full,Pre,0.0757978973953923
post,familiar,2,2,95,Full,Pre,0.0854484847895337
post,familiar,2,2,96,Full,Pre,0.693623883792973
post,familiar,2,2,97,Full,Pre,-0.255649379810845
post,familiar,2,2,98,Full,Pre,0.987937308874594
post,familiar,2,2,99,Full,Pre,0.451829110284269
post,familiar,2,2,100,Full,Pre,0.210574402600587
post,familiar,2,2,101,Full,Pre,0.0995151716011347
post,familiar,2,2,102,Full,Pre,0.801799948906477
