transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
act,all,2,2,15,Full,Pre,0.013684557475433
act,all,2,2,16,Full,Pre,-0.0643659686186542
act,all,2,2,17,Full,Pre,0.15492309299535
act,all,2,2,18,Full,Pre,0.135518239547545
act,all,2,2,19,Full,Pre,-0.0699228746648399
act,all,2,2,20,Full,Pre,-0.184116499293355
act,all,2,2,21,Full,Pre,2.38034673633982
act,all,2,2,22,Full,Pre,-0.29613393170008
act,all,2,2,23,Full,Pre,0.0261021189790911
act,all,2,2,24,Full,Pre,0.179933681182014
act,all,2,2,25,Full,Pre,-0.127029801789535
act,all,2,2,26,Full,Pre,3.97100264460289
act,all,2,2,27,Full,Pre,-0.168636932268779
act,all,2,2,28,Full,Pre,-0.0566787213549599
act,all,2,2,29,Full,Pre,2.94757286235493
act,all,2,2,30,Full,Pre,0.411047975215298
act,all,2,2,31,Full,Pre,-0.295328835777845
act,all,2,2,32,Full,Pre,0.33307416038808
act,all,2,2,33,Full,Pre,0.168431179766163
act,all,2,2,34,Full,Pre,0.0179630816069898
act,all,2,2,35,Full,Pre,0.00700064027563499
act,all,2,2,36,Full,Pre,0.381645236685452
act,all,2,2,37,Full,Pre,1.01690923388207
act,all,2,2,38,Full,Pre,0.145401545130955
act,all,2,2,39,Full,Pre,0.127893085420126
act,all,2,2,40,Full,Pre,0.210690108968245
act,all,2,2,41,Full,Pre,0.209516413183295
act,all,2,2,42,Full,Pre,-0.364170446953207
act,all,2,2,43,Full,Pre,0.261082916151146
act,all,2,2,44,Full,Pre,0.214165171179394
act,all,2,2,45,Full,Pre,0.179743220380673
act,all,2,2,46,Full,Pre,0.067127015385413
act,all,2,2,47,Full,Pre,0.0631860491077973
act,all,2,2,48,Full,Pre,-0.077789949442828
act,all,2,2,49,Full,Pre,-0.230550661975788
act,all,2,2,50,Full,Pre,-0.0847351469595118
act,all,2,2,51,Full,Pre,0.0843635016072062
act,all,2,2,52,Full,Pre,0.767030816257246
act,all,2,2,53,Full,Pre,-0.186123555835143
act,all,2,2,54,Full,Pre,-0.0399280720475588
act,all,2,2,55,Full,Pre,1.33255111378168
act,all,2,2,56,Full,Pre,0.504399110833416
act,all,2,2,57,Full,Pre,0.167457102613303
act,all,2,2,58,Full,Pre,0.473463959672337
act,all,2,2,59,Full,Pre,0.0140657630846507
act,all,2,2,60,Full,Pre,0.741812137636653
act,all,2,2,61,Full,Pre,0.443621393061868
act,all,2,2,62,Full,Pre,-0.0369693847104686
act,all,2,2,63,Full,Pre,0.0757978973953923
act,all,2,2,64,Full,Pre,0.693623883792973
act,all,2,2,65,Full,Pre,0.987937308874594
act,all,2,2,66,Full,Pre,0.451829110284269
act,all,2,2,67,Full,Pre,0.227917626077264
act,all,2,2,68,Full,Pre,0.0995151716011347
act,all,2,2,69,Full,Pre,0.801799948906477
act,all,2,2,70,Full,Pre,-0.0956420716425128
act,all,2,2,71,Full,Pre,-0.31646119422404
act,all,2,2,72,Full,Pre,2.9749478527201
act,all,2,2,73,Full,Pre,0.518471581740925
act,all,2,2,74,Full,Pre,0.400423938663479
act,all,2,2,75,Full,Pre,-0.183489589170415
act,all,2,2,76,Full,Pre,-0.769043123912061
act,all,2,2,77,Full,Pre,0.462013494965366
act,all,2,2,78,Full,Pre,0.315933952310074
act,all,2,2,79,Full,Pre,0.0416654924705717
act,all,2,2,80,Full,Pre,2.54097779055685
act,all,2,2,81,Full,Pre,1.73000461842613
act,all,2,2,82,Full,Pre,0.881441758831893
act,all,2,2,83,Full,Pre,0.156319038807713
act,all,2,2,84,Full,Pre,1.67399392178838
act,all,2,2,85,Full,Pre,0.442845965358569
act,all,2,2,86,Full,Pre,0.653543658695123
act,all,2,2,87,Full,Pre,0.138715139865249
act,all,2,2,88,Full,Pre,-0.155085082129184
act,all,2,2,89,Full,Pre,0.10454142174352
act,all,2,2,90,Full,Pre,5.40810455586613
act,all,2,2,91,Full,Pre,3.91310332618674
act,all,2,2,92,Full,Pre,2.28329753788563
act,all,2,2,93,Full,Pre,-0.414673885997507
act,all,2,2,94,Full,Pre,0.131892527816664
act,all,2,2,95,Full,Pre,0.254800317887068
act,all,2,2,96,Full,Pre,-0.121711262916087
act,all,2,2,97,Full,Pre,0.22644351079736
act,all,2,2,98,Full,Pre,0.72300205075646
act,all,2,2,99,Full,Pre,0.0118648755946002
act,all,2,2,100,Full,Pre,0.239535719960876
act,all,2,2,101,Full,Pre,0.481537968477388
act,all,2,2,102,Full,Pre,0.21294571738388
act,all,2,2,103,Full,Pre,-0.236210400198346
act,all,2,2,104,Full,Pre,3.52609314948455
act,all,2,2,105,Full,Pre,0.0907382462566223
act,all,2,2,106,Full,Pre,2.76833101989502
act,all,2,2,107,Full,Pre,3.20869046803558
act,all,2,2,108,Full,Pre,1.09585890370055
act,all,2,2,109,Full,Pre,0.35277002163104
act,all,2,2,110,Full,Pre,1.34205622568148
act,all,3,3,1,Full,Pre,0.333669309563325
act,all,3,3,2,Full,Pre,1.63910090674824
act,all,3,3,3,Full,Pre,0.759157109855146
act,all,3,3,4,Full,Pre,3.28466465602429
act,all,3,3,5,Full,Pre,0.408658060682041
act,all,3,3,6,Full,Pre,0.248345108455236
act,all,3,3,7,Full,Pre,1.24896795158436
act,all,3,3,8,Full,Pre,1.13606088853808
act,all,3,3,9,Full,Pre,0.881172125370663
act,all,3,3,10,Full,Pre,0.329805853230075
act,all,3,3,11,Full,Pre,0.0310766959528899
act,all,3,3,12,Full,Pre,2.61242346761178
act,all,3,3,13,Full,Pre,0.641813221164298
act,all,3,3,14,Full,Pre,-0.210245699911022
act,all,3,3,15,Full,Pre,-0.176222877920532
act,all,3,3,16,Full,Pre,-0.319371852362736
act,all,3,3,17,Full,Pre,-0.0392218346813781
act,all,3,3,18,Full,Pre,-0.0118992132832184
act,all,3,3,19,Full,Pre,0.243973501288139
act,all,3,3,20,Full,Pre,0.0869990640023827
act,all,3,3,21,Full,Pre,0.417735594647969
act,all,3,3,22,Full,Pre,-0.103611877022291
act,all,3,3,23,Full,Pre,-0.0127917307790165
act,all,3,3,24,Full,Pre,0.0464604671968041
act,all,3,3,25,Full,Pre,0.347138284878376
act,all,3,3,26,Full,Pre,1.29482944226171
act,all,3,3,27,Full,Pre,-0.0401936416267646
act,all,3,3,28,Full,Pre,-0.107966788673463
act,all,3,3,29,Full,Pre,0.35608081315186
act,all,3,3,30,Full,Pre,0.907911517924034
act,all,3,3,31,Full,Pre,-0.0120988707228298
act,all,3,3,32,Full,Pre,0.603372286080899
act,all,3,3,33,Full,Pre,0.288813880163636
act,all,3,3,34,Full,Pre,-0.0610539285264998
act,all,3,3,35,Full,Pre,-0.0256635381455617
act,all,3,3,36,Full,Pre,1.43201588527606
act,all,3,3,37,Full,Pre,0.530818045171127
act,all,3,3,38,Full,Pre,0.237122691353444
act,all,3,3,39,Full,Pre,-0.386052954097737
act,all,3,3,40,Full,Pre,0.940753556653378
act,all,3,3,41,Full,Pre,1.10943398292848
act,all,3,3,42,Full,Pre,0.0100363573112111
act,all,3,3,43,Full,Pre,0.562143689554192
act,all,3,3,44,Full,Pre,1.05199244838678
act,all,3,3,45,Full,Pre,0.159319928880905
act,all,3,3,46,Full,Pre,0.0672371796998613
act,all,3,3,47,Full,Pre,0.252083503081313
act,all,3,3,48,Full,Pre,-0.141649485755703
act,all,3,3,49,Full,Pre,-0.19514159736422
act,all,3,3,50,Full,Pre,0.0118017856951967
act,all,3,3,51,Full,Pre,-0.172813819829036
act,all,3,3,52,Full,Pre,0.863708748344881
act,all,3,3,53,Full,Pre,0.00879938217791609
act,all,3,3,54,Full,Pre,1.03064412082159
act,all,3,3,55,Full,Pre,0.362037727405598
act,all,3,3,56,Full,Pre,0.376812729107267
act,all,3,3,57,Full,Pre,0.0814958123508753
act,all,3,3,58,Full,Pre,0.676869179091581
act,all,3,3,59,Full,Pre,-0.110018111809887
act,all,3,3,60,Full,Pre,0.119252250487233
act,all,3,3,61,Full,Pre,-0.078287732766565
act,all,3,3,62,Full,Pre,-0.363591951153991
act,all,3,3,63,Full,Pre,0.126570558513558
act,all,3,3,64,Full,Pre,-0.177111612503136
act,all,3,3,65,Full,Pre,0.627821496186765
act,all,3,3,66,Full,Pre,-0.0439017540834023
