candidate_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_transition,novel_transition,target,objective,normalized_rmse,mismatch_penalty,transition_score_familiar,transition_score_novel,transition_bonus
7,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,0.00014144093245249678,0.03657184820331168,0.0010870545276702615,0.040147057830472475,7.855608315310291e-06,0.05066797795589082,2.6409567944085666e-05,0.04816599403857254,FB -> FB,FB -> FB,FB_FB,-0.14888563810382038,0.0022201179526746273,0,0.037239826159202495,0.03831305186904501,3.0221151211299
563,0.00021220484632067382,9.999999747378752e-05,0.4430285692214966,0.6172151565551758,1.9139772653579712,1.6402080059051514,1.3198477029800415,0.8320692777633667,5.575824848363942e-09,0.028908993866934907,0.0009638116056521539,0.045229194627609104,2.7571429145112346e-06,0.044471407777746205,7.747594636242639e-06,0.05381219248811249,FB -> FB,FB -> FB,FB_FB,0.031136453969520528,0.17598003149032593,0,0.02338040164468111,0.04904138711572159,2.8968715504161078
574,0.00019726288155652583,0.0001132913093897514,0.4643813967704773,0.8554059267044067,0.8851098418235779,2.0,0.7287082672119141,2.0,0.000736983942988445,0.028537998464889823,0.0013547073205700145,0.05535853645997122,1.8249543040838033e-05,0.04190564239397645,0.000411661093494331,0.06286291754804552,FB -> FB,FB -> FB,FB_FB,0.16601002833340317,0.3433402180671692,0,0.02044364085886627,0.06822145400801674,3.5466037946753204
552,9.999999747378752e-05,9.999999747378752e-05,1.2117680311203003,0.5619231462478638,2.0,1.2443493604660034,1.775733232498169,2.0,0.004276997358829249,0.060519895935431126,0.001932929578833864,0.03129947624838678,1.5652740414395795e-05,0.07230710303410888,4.556220284541723e-05,0.03792302974325139,FB -> FB,FB -> FB,FB_FB,0.2945745781151345,0.49867358803749084,0,0.08282699896954,0.019222505991638168,4.081980198447127
564,0.00019592310127336532,0.00010498303163331002,0.4115782082080841,1.0475457906723022,0.661685585975647,2.0,1.2144347429275513,2.0,0.0012930589637107914,0.025894864645670167,0.0024414977509877645,0.06571915811800863,0.00030809488757768124,0.03833897703443654,0.0026816161429451314,0.07294699990306981,FB -> FB,FB -> FB,FB_FB,0.35003334028879185,0.5558333396911621,0,0.014233841680106704,0.08866615802107844,4.115999988047405
556,0.00024785581626929343,0.018243519589304924,0.2035437524318695,0.23702117800712585,0.0007986173732206225,0.14282241463661194,2.0,0.012876489199697971,0.03182382548984606,0.03345614441204816,0.02293071044696262,0.039127697516232726,0.013633927163027693,0.05790595577564091,0.033620490625617096,0.05372361483168788,FB -> FB,FB -> FB,FB_FB,0.6237956899683923,0.7613338828086853,0,0.034538274697843006,0.03423082172230351,2.7507638568058606
569,9.999999747378752e-05,0.00025437597651034594,0.9302096366882324,1.2279579639434814,1.469614028930664,1.1835874319076538,1.3288865089416504,1.695148229598999,0.005112521821865812,0.06365020283847116,0.01080899479566142,0.08674749715719372,0.0008735945437365444,0.07865355723188258,0.016844329820014537,0.0950917913694866,FB -> FB,FB -> FB,FB_FB,0.673801977490075,1.122088074684143,0,0.09230376007035374,0.1318392885266803,8.965721943881361
578,9.999999747378752e-05,0.00012108797818655148,0.41942134499549866,0.7643539905548096,2.0,1.5117602348327637,1.4697117805480957,2.0,5.139553929466023e-05,0.021353626235213596,0.0011831461191832205,0.0415744553814875,3.170692279184095e-05,0.03309063449560199,6.121678563886235e-05,0.048303979868069294,unresponsive -> FB,FB -> FB,FB_FB,0.7408425874513341,0.32948797941207886,1,0.004444260730815584,0.03987843524955679,1.772907839214895
591,0.0005120264831930399,0.006159849464893341,0.15248318016529083,0.26292115449905396,0.0009532076073810458,0.10816024988889694,0.9747629165649414,0.015824876725673676,0.02413480870309286,0.025194455494056456,0.029926846077432855,0.043430505465948954,0.01520741645799717,0.0540794386412017,0.04329520490136929,0.06145532513037324,FB -> FB,FB -> FB,FB_FB,0.7555218320980203,0.8773971796035767,0,0.029273894135258157,0.03166377961752005,2.4375069501111284
559,0.00021968502551317215,9.999999747378752e-05,0.3544303774833679,1.0992807149887085,1.1338008642196655,1.9784146547317505,0.4068918228149414,1.190504550933838,8.339178433018901e-05,0.029003071101033128,0.0023923028835270087,0.09536865266272798,0.00023555702553039736,0.047504985373234374,0.0026368253522377925,0.10493588159442879,FB -> FB,FB -> FB,FB_FB,0.7731496064399834,1.126774787902832,0,0.0265080564742675,0.15030453425715679,7.07250362925697
