target,candidate_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_transition,novel_transition,objective,normalized_rmse,mismatch_penalty,transition_score_familiar,transition_score_novel,transition_bonus
FB_FB,7,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,0.00014144093245249678,0.03657184820331168,0.0010870545276702615,0.040147057830472475,7.855608315310291e-06,0.05066797795589082,2.6409567944085666e-05,0.04816599403857254,FB -> FB,FB -> FB,-0.14888563810382038,0.0022201179526746273,0,0.037239826159202495,0.03831305186904501,3.0221151211299
FF_FB_broad,0,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.041330891981488094,0.005490358633687719,0.04165727516810876,0.006709095338737825,0.005087824152724352,0.0363960204005707,0.058817409619223326,0.026290877989958973,FF -> FB,FF -> FF,-0.1538214383588638,0.0,0,0.027726912382058794,0.04918380679737311,3.076428767177276
FF_FB_narrow_familiar,5,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5,0.04497331942257006,0.00036395297875060353,0.002352818324652617,0.000314077241182531,0.005070762783361715,0.01630476267600898,0.00042248773199844437,0.011198927713849116,FF -> unresponsive,unresponsive -> unresponsive,-0.13023362141611872,0.0,0,0.02866855674656108,0.03644825396149827,2.6046724283223743
FF_FB_narrow_novel,6,0.01,0.9,0.01,0.15,0.3,0.3,0.3,0.3,0.00700149180192966,0.0014341297566716094,0.12000589292729273,0.02278580163110746,0.0067528560539358296,0.03162201589730103,0.14034861127147452,0.04331821759988088,unresponsive -> FB,FF -> FF,-0.4333136213885155,0.0,0,0.02462052409537137,0.19203628659888636,8.66627242777031
FF_un,3,0.5,0.5,1e-07,1e-07,0.1,0.1,0.1,0.1,0.06593094615382142,0.0014491156951407902,0.06677560726529919,0.0019085950436419808,0.007732910462073051,0.030110048010828904,0.08226097036385908,0.019792225644050632,FF -> FB,FF -> FF,0.7914817332930397,0.5611966848373413,1,0.03582089814299251,0.09903657762915827,5.394299030886032
un_FB,1,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,3.983112544490592e-11,0.0001955495238689764,9.160188635446063e-05,3.70365654816851e-05,1.7737738345212574e-21,0.012021823488612426,9.331918864319277e-07,0.007236344458215171,unresponsive -> unresponsive,unresponsive -> unresponsive,-0.16090936128589794,0.0,0,0.0377826269875186,0.042672053655430364,3.218187225717959
un_un,338,0.007623220793902874,0.014072819612920284,0.013456393033266068,0.01524512842297554,2.0,2.0,1.6966251134872437,2.0,3.6544863000017094e-16,9.681500689566747e-05,5.066244238825392e-05,7.074040011048054e-05,3.493200751613062e-22,0.0085255170288292,6.366608721553035e-07,0.00523142638412537,unresponsive -> unresponsive,unresponsive -> unresponsive,-0.03130628473827529,0.14084471762180328,0,0.04137766796427514,0.04469783321576415,3.4430200472015713
