image_type,context_mode,context_label,transition_label,basin_id,n_core_points,raw_component_id,raw_component_size,purity_min,purity_median,naive_state_median,expert_state_median,naive_state_q10,naive_state_q90,expert_state_q10,expert_state_q90,w_ff_0_q10,w_ff_0_median,w_ff_0_q90,w_ff_1_q10,w_ff_1_median,w_ff_1_q90,w_fb_0_q10,w_fb_0_median,w_fb_0_q90,w_fb_1_q10,w_fb_1_median,w_fb_1_q90,w_lat_0_q10,w_lat_0_median,w_lat_0_q90,w_lat_1_q10,w_lat_1_median,w_lat_1_q90,w_pv_lat_0_q10,w_pv_lat_0_median,w_pv_lat_0_q90,w_pv_lat_1_q10,w_pv_lat_1_median,w_pv_lat_1_q90,W_pv_00_q10,W_pv_00_median,W_pv_00_q90,W_pv_01_q10,W_pv_01_median,W_pv_01_q90,W_pv_10_q10,W_pv_10_median,W_pv_10_q90,W_pv_11_q10,W_pv_11_median,W_pv_11_q90
familiar,11,"ctx=(T,T)",unresponsive -> FB,familiar|11|unresponsive -> FB|01,194,0,411,0.6666666666666666,0.75,0.0,-0.02359904178418215,0.0,0.0,-0.0764356227524578,-0.0008655601795762493,0.00017410779546473998,0.0014259458403102498,0.018286764435470084,0.00021337652869984,0.0054887225851416,0.4235265910625461,0.00015223976079134,0.00083938313764515,0.00913697974756354,0.00026208569179283,0.00928979553282255,0.5369439244270329,0.00060218676226207,0.0539731979370117,1.087914347648621,0.00036414414062163,0.02520900126546615,0.8014570891857155,0.00025867506046771003,0.008863266557455,0.544808381795884,0.00026741458568715004,0.01706947758793825,0.777280420064927,0.00054645376512773,0.059330670163035296,1.0739584207534805,0.00029439143254415,0.01263189362362025,0.6594965159893046,0.00041441677894904,0.04128505848348135,0.9600114643573765,0.00033489493071098,0.017406569793820298,0.8444651305675509
familiar,11,"ctx=(T,T)",FF -> FB,familiar|11|FF -> FB|01,168,0,441,0.6666666666666666,0.75,0.0924589448049664,-0.02167830584198235,0.00665663139894598,0.4983961327783766,-0.2127673897005617,-0.001786840118467749,0.01121826069429515,0.24225527048110962,1.3389953255653388,0.00020769084658232,0.0055371765047311,0.3503395318984989,0.02045260835438961,0.3480824083089828,1.4302667975425722,0.00029338790336615,0.01697932556271545,0.6206455290317539,0.00023634305689477998,0.011157298926263999,0.4765529960393909,0.00020670316735049,0.0075304077472537,0.3866478651762023,0.00021616286539935,0.0118852006271481,0.7471747934818272,0.00031644057016814,0.0261208768934011,0.9870074093341837,0.00032138007518366,0.0072774330619722,0.6015033841133121,0.00031235121423378,0.011329320259392199,0.7621026456356051,0.00029436074837576,0.013860266190022199,0.6470172643661511,0.000207297973975,0.0074321283027529005,0.5513581573963192
novel,11,"ctx=(T,T)",FF -> FF,novel|11|FF -> FF|01,165,0,425,0.6666666666666666,0.7083333333333334,0.232973683796823,0.2146030903235078,0.035274595267698154,0.6169778507679701,0.024862033474445322,0.5931642342972103,0.00030772847821930005,0.0173608921468257,0.7390728354454038,0.06974501162767408,0.606450617313385,1.6160524606704711,0.0002662110899109,0.0077332137152552,0.3930761992931364,0.0010368985356762799,0.0747794285416603,1.2180359840393065,0.00020604971505228003,0.0052393609657883,0.3915804684162139,0.00027494694222692,0.0076345787383615,0.41701843142509437,0.00028127371915608,0.0155442850664258,0.887657475471496,0.00029725290369236006,0.018084829673171,0.8856302499771117,0.00021303853718560001,0.0153632014989852,0.7039701819419857,0.00022329033236016005,0.0051663820631802,0.2918959915637968,0.0002694667782633801,0.011979323811829,0.6423558115959166,0.00024279604549516003,0.0059707597829401,0.3995035588741298
novel,11,"ctx=(T,T)",unresponsive -> FB,novel|11|unresponsive -> FB|01,60,0,314,0.6666666666666666,0.7083333333333334,0.0,-0.034297422343865,0.0,0.0,-0.04858925701435649,-0.00235534927146501,0.00026588526670819003,0.009712838567793348,0.6632546246051789,0.00014482122205658002,0.0004948440036969,0.002858308749273331,0.00059749032370744,0.04401903226971619,0.7253012359142303,0.00013525096437654998,0.0006597895990125,0.005960467457771211,0.00056758064310992,0.0227462882176041,0.5103840202093126,0.00079291918664233,0.0402933973819017,0.6248118758201602,0.00030880959820929,0.00648104725405565,0.8018364846706392,0.0005778582795755301,0.0425262060016393,0.7014578402042391,0.00098310980247328,0.08479668200016019,1.1467209935188294,0.00430847092065955,0.18188466876745224,1.3028809905052188,0.00027304882241875004,0.03020644001662725,0.7436740517616274,0.0044877137290313006,0.22439916431903834,1.2911603331565857
familiar,10,"ctx=(T,F)",unresponsive -> FB,familiar|10|unresponsive -> FB|01,207,0,422,0.6666666666666666,0.75,0.0,-0.0253755804635584,0.0,0.0,-0.07673356785923238,-0.0011298078782855994,0.0001783642423106,0.0014156072866171,0.019862410426139766,0.00022142918314780002,0.0056551578454673,0.43527196645736704,0.00015471708902618003,0.0009755257633514,0.010682852566242183,0.00027296800981270003,0.0117690246552228,0.7515006780624393,0.0006021958426571801,0.060611642897129,1.0813976526260378,0.00036668741959146003,0.0260075610131025,0.7889667391777041,0.00026496190694152,0.0108222663402557,0.6670123338699342,0.0002705858612898,0.0164712034165859,0.7326190948486329,0.0005574318580328601,0.0588400922715663,1.0466790676116948,0.00031254021450874,0.0127265118062496,0.6890833973884585,0.00042125629843208005,0.0431316085159778,0.9951863288879396,0.00028518447652454005,0.0162701550871133,0.8515608072280885
familiar,10,"ctx=(T,F)",FF -> FB,familiar|10|FF -> FB|01,159,0,433,0.6666666666666666,0.75,0.0931211637333035,-0.025459065772593,0.00770665968507524,0.5215358451813467,-0.2225456324040889,-0.001685826398432156,0.01280041020363562,0.2646683752536773,1.3849714994430549,0.00020178722916162,0.0053630587644875,0.3791700184345247,0.01953095197677608,0.3782060742378235,1.4533815860748298,0.00027070071664632,0.013374401256442,0.5368506431579606,0.00022718107502436,0.0092109097167849,0.3742481589317328,0.00020750520343426,0.0069745294749736,0.3738225698471091,0.00022644862183368,0.0135755650699138,0.6687150478363051,0.00031718768295826,0.0264248959720134,1.061602425575257,0.00029697400168512,0.0074770809151232,0.6250286579132086,0.0002881273627281,0.0128627056255936,0.7596636295318607,0.00028101528296246,0.014332084916532,0.6362477302551288,0.00020784169028039998,0.0067236819304525,0.4589216828346257
novel,10,"ctx=(T,F)",unresponsive -> unresponsive,novel|10|unresponsive -> unresponsive|01,601,0,695,0.6666666666666666,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0002748617553152,0.0122082447633147,0.6366520524024963,0.0001858526957221,0.0019358232384547,0.0238714292645454,0.000261162262177,0.0122915189713239,0.5894264578819275,0.0002621099411044,0.013805846683681,0.7404546737670898,0.000282149965642,0.0161356981843709,0.7982531189918518,0.0002884471905417,0.0184160433709621,0.8390449285507202,0.0002748074475675,0.0158475581556558,0.7569324970245361,0.000262535206275,0.0142682995647192,0.6932169795036316,0.0002804623218253,0.0143898418173193,0.7674680352210999,0.0002916409575846,0.0172206349670887,0.7728061676025391,0.0002753255539573,0.015246020630002,0.7460819482803345,0.0002719598123803,0.0153458956629037,0.7541754841804504
novel,10,"ctx=(T,F)",FF -> FF,novel|10|FF -> FF|01,36,0,291,0.6666666666666666,0.7083333333333334,0.46246422899514433,0.4322216363474726,0.2230800800845027,0.6482372669279576,0.2025278741680085,0.6426537448912859,0.00101377198006955,0.018561678007245,0.27222757041454315,0.5761210024356842,1.2544878125190735,1.7427868843078613,0.00020097616652485002,0.0036097591510042,0.10604537650942794,0.00024834972282405,0.0151893552392721,1.2234134078025818,0.00034730418701655,0.0097279916517436,0.202692300081253,0.00025228473532475,0.0102753168903291,0.11975512653589246,0.00117098240298215,0.017564256675541352,0.446378618478775,0.00073119810258495,0.0374835468828678,0.8463037610054016,0.0013289602939039,0.0200129840523004,0.6395924687385559,0.00030146824428805,0.010875476058572451,0.2594157680869102,0.0021250942954793,0.05455607362091535,0.8512904942035675,0.00046487647341560004,0.01249096868559715,0.14080854505300514
familiar,1,"ctx=(F,T)",unresponsive -> unresponsive,familiar|1|unresponsive -> unresponsive|01,589,0,688,0.6666666666666666,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.00018204669759142,0.0018546436913311,0.023073352128267263,0.00027008007164109997,0.0113948052749037,0.5693621635437014,0.00026060379459514,0.0124314352869987,0.7227552771568304,0.0002589494804851,0.0115121705457568,0.5753869771957405,0.00030778490472580005,0.0188751984387636,0.8262212276458742,0.00028706365264946003,0.0166294779628515,0.7560567736625677,0.00027451483183532003,0.0156971924006938,0.7026393651962285,0.00027839756221504,0.0145919080823659,0.7300724029541021,0.00027945746551264004,0.0160765815526247,0.7316426634788517,0.00026814336306408003,0.0135394595563411,0.6878430247306832,0.00027182199410156,0.0178948771208524,0.834730732440949,0.00027703300584102004,0.0146368527784943,0.6988623857498185
novel,1,"ctx=(F,T)",FF -> FF,novel|1|FF -> FF|01,226,0,468,0.6666666666666666,0.75,0.17912419034959745,0.1726344879302196,0.01307649007812135,0.5672612726315855,0.01166365127265445,0.5736916069819126,0.000235082108702,0.01183473365381355,0.7768358588218689,0.01798963453620665,0.4590325355529785,1.4858850240707397,0.00030374893685795,0.015228503383696,0.6810160875320435,0.001310839143116,0.0986050814390182,1.3240823149681091,0.0002147467530448,0.0043540818151086,0.5104208439588547,0.00021617731545115,0.0064052555244415495,0.3784037232398987,0.0002974762464873,0.0190675305202603,0.8234253525733948,0.00028386063058855,0.02166789490729565,0.8709831237792969,0.00022515272576125,0.016046704724431,0.6595432758331299,0.00023407638946075,0.0066771630663424505,0.3299217224121094,0.00029412448930085005,0.0160996271297335,0.691032350063324,0.00023988085740705002,0.006639525294303851,0.4211934953927994
