transition,transition_label,transition_row,experiment_phase,phase_label,phase_index,condition,condition_label,condition_index,image_type,trace_label,trace_index,y,y_sem,y_raw_mean,trial_step,relative_step,baseline_mean,baseline_std,baseline_n,n_trials,trial_len,stim_start,stim_end
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,-0.15102850642604815,0.19821078895034383,0.03297760765999556,23.0,-67.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,-0.12291533370781912,0.16821812226235755,0.033315560035407546,24.0,-66.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,-0.02825340118801344,0.18792621012175115,0.034453504346311094,25.0,-65.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.21256009618816823,0.21958468531639813,0.037348357029259205,26.0,-64.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3082159702294053,0.27577856350017393,0.03849824965000152,27.0,-63.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.22757630320460548,0.2555703467090243,0.03752886895090342,28.0,-62.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.2989676517107894,0.20697479190488896,0.03838707432150841,29.0,-61.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3831510293022161,0.2393535029942095,0.03939905446022749,30.0,-60.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3642007990478679,0.2551566583526631,0.039171251095831396,31.0,-59.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.36894922617631826,0.2116354555619662,0.039228332601487635,32.0,-58.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.32951083457638347,0.18188262129776278,0.03875423818826675,33.0,-57.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.34319384259073193,0.17879962277014017,0.038918723538517955,34.0,-56.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.38426265342541005,0.24168311481742874,0.0394124174490571,35.0,-55.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.30589115391790156,0.2635566256637616,0.03847030270844698,36.0,-54.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3199556271031249,0.26473324730370157,0.03863937370479107,37.0,-53.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.30366556596475036,0.2841021873860131,0.038443548604846,38.0,-52.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.2677179238869628,0.2987967300320029,0.038011416979134086,39.0,-51.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.38363726995078945,0.34522477107721505,0.03940489962697029,40.0,-50.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3001200425127507,0.30813583661873295,0.03840092737227678,41.0,-49.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.27877407649090563,0.28733835998136414,0.03814432453364134,42.0,-48.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.23568388297083548,0.3134596453871495,0.03762633129954338,43.0,-47.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3034566038097311,0.3104690085379336,0.038441036641597745,44.0,-46.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.24077344244430315,0.2813499106629479,0.03768751360476017,45.0,-45.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.17373213563221543,0.264905648157444,0.036881600692868236,46.0,-44.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.12332727502267653,0.31445073516206323,0.03627567682415247,47.0,-43.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.2666718580373776,0.25288983020334893,0.03799884207546711,48.0,-42.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3990462997874884,0.2627881629507548,0.03959013372659683,49.0,-41.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
