candidate_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_transition,novel_transition,target,objective,normalized_rmse,mismatch_penalty,transition_score_familiar,transition_score_novel
26,0.570286214351654,0.6014411449432373,0.0691564679145813,0.031362924724817276,0.15750785171985626,0.18589358031749725,0.20907409489154816,0.18799979984760284,0.10054896213114262,0.007803232921287417,0.09390094224363565,0.00016706351416360122,0.07983481548726559,0.007291284180246294,0.09452266152948141,0.0010428025354485726,FF -> FF,FF -> FF,FF_FB_broad,-1.607931673526764,1.0801421403884888,0,0.13038377761840822,0.13842360377311708
24,0.5334355235099792,0.9263626933097839,0.07731102406978607,0.03919556364417076,0.12591798603534698,0.5872801542282104,0.2572158873081207,0.5181770324707031,0.08913106303662062,0.00799011909402907,0.09274935200810433,0.0002836785126419272,0.07104835845530033,0.007205112173687666,0.09375468567013741,0.0015659368626074865,FF -> FF,FF -> FF,FF_FB_broad,-1.536677049472928,0.9301575422286987,0,0.11017942149192095,0.13650403767824174
0,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.058476314134895804,0.0052707803202793006,0.05517948791384697,0.003155342617537826,0.045312469266355036,0.005422870116308332,0.05799829866737127,0.0054497632663697,FF -> FF,FF -> FF,FF_FB_broad,-1.1696656998246908,0.0,0,0.05378878340125084,0.06317778658121824
2,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.058476314134895804,0.0052707803202793006,0.05517948791384697,0.003155342617537826,0.045312469266355036,0.005422870116308332,0.05799829866737127,0.0054497632663697,FF -> FF,FF -> FF,FF_FB_broad,-1.1696656998246908,0.0,0,0.05378878340125084,0.06317778658121824
23,0.6998419761657715,0.708551824092865,0.03998668119311333,0.2112477421760559,0.15962432324886322,0.6931585669517517,0.3980710804462433,0.1741126924753189,0.1102675024420023,0.001408596069086343,0.07105002161115408,0.03328786678612232,0.0860572624951601,0.0004148852178332163,0.07150050494819879,0.035590438172221184,FF -> FF,FF -> FF,FF_FB_broad,-1.048182226717472,1.1517876386642456,0,0.1463247649371624,0.07367222160100936
12,0.24078938364982605,0.22093935310840607,0.27523261308670044,0.17333932220935822,0.02654518187046051,0.002985421335324645,0.6089199781417847,0.06988204270601273,0.10195945184677839,0.05077878199517727,0.07509109713137149,0.028164255199953914,0.08131489530205727,0.04943399997428059,0.07458742167800665,0.02947109630331397,FF -> FF,FF -> FF,FF_FB_broad,-0.4042691704817116,1.346778154373169,0,0.0830615651793778,0.09204316730611026
8,0.020053725689649582,1.247989535331726,0.044621530920267105,0.0026501137763261795,0.0001405337534379214,0.0008135060779750347,1.4552804231643677,0.11150427162647247,0.02473868550732732,0.00854238944593817,0.2558976963162422,0.0,0.01817700541578233,0.008139073569327592,0.25694926381111144,0.0,unresponsive -> unresponsive,FF -> FF,FF_FB_broad,0.9871623269282281,4.044788837432861,2,-0.007084309076890352,0.46284696012735366
4,1.444726824760437,0.034534282982349396,0.005981015041470528,0.05308292433619499,0.003904111450538039,0.00024642026983201504,0.10409379005432129,0.013007466681301594,0.29067410677671435,0.0,0.024913575034588575,0.005302503099665045,0.2312180794775486,0.0,0.017028589267283678,0.005825413577258587,FF -> FF,unresponsive -> unresponsive,FF_FB_broad,1.1309235766530037,4.2692670822143555,2,0.47189218625426294,-0.00805783569812775
25,1.0339875221252441,0.3483956754207611,0.04840058088302612,0.05467875301837921,0.11913256347179413,0.589786171913147,0.2576761245727539,0.4437755346298218,0.17880139462649822,0.00035243124184489714,0.006340123084373772,0.0047154062893241646,0.14320416748523712,3.1001962270238435e-06,0.0039867149665951725,0.006410714064259082,FF -> FF,unresponsive -> unresponsive,FF_FB_broad,1.578146685496904,2.425710678100586,2,0.2720055621117353,-0.037249162851367146
9,0.4281701147556305,0.00016109658463392407,0.00012733765470329672,0.042887844145298004,0.010194380767643452,0.0052387830801308155,0.008311869576573372,0.2136784791946411,0.08432656638324261,0.00033869002436404116,0.010105579532682896,0.007418891787528992,0.06953494846820832,0.0,0.009687281516380607,0.008691437146626412,FF -> FF,unresponsive -> unresponsive,FF_FB_broad,1.8314445174764842,1.0679882764816284,2,0.10386151485145093,-0.030207138950936498
