transition,transition_label,transition_row,experiment_phase,phase_label,phase_index,condition,condition_label,condition_index,image_type,trace_label,trace_index,step,y,y_raw,y_baseline_zscore,baseline_mean,baseline_std,baseline_n,plot_window_start,plot_window_end,stim_start,stim_end,experiment_series,seed
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1026.0,0.7278212259417396,0.04797077178955078,0.7278212259417396,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1027.0,0.454278314827544,0.04557223245501518,0.454278314827544,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1028.0,0.9490434838886546,0.049910541623830795,0.9490434838886546,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1029.0,0.8645967176028171,0.049170076847076416,0.8645967176028171,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1030.0,0.5842149469349575,0.046711571514606476,0.5842149469349575,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1031.0,0.7314766615881163,0.04800282418727875,0.7314766615881163,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1032.0,1.03109917720636,0.05063004046678543,1.03109917720636,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1033.0,1.0510464527797014,0.050804946571588516,1.0510464527797014,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1034.0,0.7944747216201968,0.04855521768331528,0.7944747216201968,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1035.0,0.5175992631779934,0.04612745717167854,0.5175992631779934,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1036.0,0.25456764138585786,0.04382108524441719,0.25456764138585786,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1037.0,0.004687345771498722,0.04163002967834473,0.004687345771498722,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1038.0,0.6927066964660683,0.047662872821092606,0.6927066964660683,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1039.0,0.9073063450620164,0.049544572830200195,0.9073063450620164,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1040.0,1.5509510691925343,0.05518832057714462,1.5509510691925343,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1041.0,1.236251793371714,0.05242890492081642,1.236251793371714,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1042.0,0.9372873751286722,0.049807459115982056,0.9372873751286722,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1043.0,0.6532709866139097,0.047317083925008774,0.6532709866139097,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1044.0,0.38345573616467327,0.04495123028755188,0.38345573616467327,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1045.0,0.9112638512272881,0.04957927390933037,0.9112638512272881,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1046.0,0.9534249933983108,0.04994896054267883,0.9534249933983108,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1047.0,0.9212432245301404,0.04966677725315094,0.9212432245301404,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1048.0,0.7422806746619608,0.048097558319568634,0.7422806746619608,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1049.0,0.46801466365583894,0.04569267854094505,0.46801466365583894,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1050.0,0.20746205941328577,0.043408043682575226,0.20746205941328577,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1051.0,-0.04006285088918212,0.041237641125917435,-0.04006285088918212,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1052.0,-0.27521136697795895,0.03917576000094414,-0.27521136697795895,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1053.0,-0.498602499747602,0.037216972559690475,-0.498602499747602,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1054.0,-0.710824245819983,0.03535612300038338,-0.710824245819983,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1055.0,-0.91243486210344,0.03358831629157066,-0.91243486210344,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1056.0,-1.1039649900580293,0.031908899545669556,-1.1039649900580293,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1057.0,-1.2859185054016264,0.030313454568386078,-1.2859185054016264,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1058.0,-1.4587744299486536,0.028797781094908714,-1.4587744299486536,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1059.0,-1.622987568889656,0.02735789120197296,-1.622987568889656,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1060.0,-1.7789899977769768,0.025989996269345284,-1.7789899977769768,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1061.0,-1.9271923370839104,0.024690495803952217,-1.9271923370839104,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
