search_group,candidate_idx,target,backtest_success_rate,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1
standard,1,un_FB,1.0,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5
standard,1650,un_FB,1.0,0.015943745151162148,0.008569834753870964,0.014703379943966866,0.012808475643396378,1.6898553371429443,1.615781307220459,0.7220494151115417,2.0
standard,1647,un_FB,1.0,0.005024964455515146,0.007525823079049587,0.004323869943618774,0.008899128995835781,2.0,1.294271469116211,0.7151617407798767,1.3084440231323242
standard,1630,un_FB,1.0,0.0035933521576225758,0.00833610724657774,0.007300799246877432,0.010009023360908031,2.0,0.9185932278633118,2.0,1.280841588973999
standard,1580,un_FB,1.0,0.017904235050082207,0.011928793042898178,0.021520813927054405,0.016246315091848373,1.5297280550003052,2.0,1.0543252229690552,1.4575262069702148
standard,1032,un_FB,1.0,0.0633833259344101,0.00016055439482443035,0.015910785645246506,0.0001006720558507368,1.479056715965271,0.46293365955352783,0.00012661160144489259,0.026324713602662086
standard,1512,un_FB,1.0,0.07801695913076401,0.0001233027142006904,0.0027687400579452515,0.0011079268297180533,0.00010089934949064627,1.3262643814086914,0.07658997923135757,0.0020453219767659903
standard,730,un_FB,1.0,0.002381088212132454,0.0014942351263016462,0.0024995822459459305,0.007970480248332024,0.03689414635300636,0.0001024977391352877,0.003878091461956501,0.0003107791708316654
standard,360,un_FB,1.0,0.08503932505846024,0.0008435979834757745,0.004380124155431986,0.008274154737591743,0.00338693312369287,0.026367496699094772,0.00010137639765162021,1.6360573768615723
standard,1078,un_FB,1.0,0.00041430306737311184,0.009339416399598122,0.003384795505553484,0.014087625779211521,0.00015639158664271235,0.0019059167243540287,0.00010868575191125274,0.0006772835040464997
standard,1541,un_FB,1.0,0.0007439665496349335,1.2199387550354004,0.07363846898078918,0.03688321262598038,0.0009246881818398833,1.6845829486846924,0.0911397784948349,0.0007347198552452028
