parameter,random_forest_importance
w_ff_1,0.22283404121895123
w_ff_0,0.19008907811663864
w_fb_0,0.1149137603869114
w_fb_1,0.09830339373476152
w_lat_1,0.06797035938400263
w_lat_0,0.06524390904994391
lr_fb,0.05431182757574985
w_pv_lat_0,0.04203647678923175
lr_lat,0.03916537020511351
w_pv_lat_1,0.03839335676756017
lr_ff,0.03554199786955041
lr_pv,0.031196428901585117
