search_group,candidate_idx,target,backtest_success_rate,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1
standard,1,un_FB,1.0,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5
standard,1681,un_FB,1.0,0.012329896911978722,0.00936767365783453,0.013009580783545971,0.009856011718511581,1.598257064819336,1.2297636270523071,2.0,2.0
standard,1677,un_FB,1.0,0.016109976917505264,0.0177328959107399,0.014543780125677586,0.008240677416324615,1.1594560146331787,2.0,1.8463387489318848,1.1394603252410889
standard,1758,un_FB,1.0,0.013152199797332287,0.017905592918395996,0.008343212306499481,0.01181128341704607,2.0,1.0463985204696655,2.0,1.0649330615997314
standard,1707,un_FB,1.0,0.025462619960308075,0.015617319382727146,0.018185433000326157,0.012384078465402126,0.9761038422584534,1.50118088722229,2.0,0.9809489846229553
standard,1033,un_FB,1.0,0.0633833259344101,0.00016055439482443035,0.015910785645246506,0.0001006720558507368,1.479056715965271,0.46293365955352783,0.00012661160144489259,0.026324713602662086
standard,1513,un_FB,1.0,0.07801695913076401,0.0001233027142006904,0.0027687400579452515,0.0011079268297180533,0.00010089934949064627,1.3262643814086914,0.07658997923135757,0.0020453219767659903
standard,1048,un_FB,1.0,0.9550833106040955,0.024216528981924057,0.004245589952915907,0.010260921902954578,1.3031518459320068,0.0008099704864434898,0.0044017634354531765,0.0001200847327709198
standard,1313,un_FB,1.0,0.01563565619289875,0.0031244331039488316,0.06120935454964638,0.03529316559433937,1.0038193464279175,0.0009565063519403338,0.18698148429393768,0.1782371550798416
standard,731,un_FB,1.0,0.002381088212132454,0.0014942351263016462,0.0024995822459459305,0.007970480248332024,0.03689414635300636,0.0001024977391352877,0.003878091461956501,0.0003107791708316654
standard,1119,un_FB,1.0,0.00020892740576528013,0.00010125842527486384,0.03345432132482529,0.0021992744877934456,0.00022506331151816994,0.22230017185211182,0.0002049661852652207,0.008658711798489094
standard,361,un_FB,1.0,0.08503932505846024,0.0008435979834757745,0.004380124155431986,0.008274154737591743,0.00338693312369287,0.026367496699094772,0.00010137639765162021,1.6360573768615723
standard,1542,un_FB,1.0,0.0007439665496349335,1.2199387550354004,0.07363846898078918,0.03688321262598038,0.0009246881818398833,1.6845829486846924,0.0911397784948349,0.0007347198552452028
standard,891,un_FB,1.0,0.0038942242972552776,0.0005880667013116181,0.00010065083915833384,0.03659658506512642,0.042579956352710724,0.0019667744636535645,0.0010982196545228362,0.7445945739746094
standard,35,un_FB,1.0,0.0056588537991046906,0.004308399278670549,0.034096669405698776,0.00012068362411810085,0.005587114952504635,0.00026953915948979557,0.06672335416078568,0.00010145634587388486
standard,2256,un_FB,1.0,9.999999747378752e-05,0.0001817807788029313,0.17688079178333282,0.28280848264694214,2.0,1.722145438194275,1.8352853059768677,0.8338422775268555
standard,0,FF_FB_broad,1.0,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3
standard,1817,FF_FB_broad,1.0,0.49736288189888,0.468969464302063,0.07865691930055618,0.03268934413790703,0.3209800720214844,0.2038467675447464,0.31714779138565063,0.6012925505638123
standard,976,FF_FB_broad,1.0,0.309114545583725,0.23991826176643372,0.0029526290018111467,0.04381725564599037,0.00015269205323420465,0.00020852989109698683,0.0006715278723277152,0.00010894674778683111
standard,1819,FF_FB_broad,1.0,0.5273994207382202,0.7270769476890564,0.09023714065551758,0.042214807122945786,0.3508400022983551,0.48916131258010864,0.1556878238916397,0.232465922832489
standard,1853,FF_FB_broad,1.0,0.9216271042823792,0.5648419260978699,0.0682346373796463,0.0769122913479805,0.9249345660209656,0.2621724009513855,0.3467380404472351,0.17339178919792175
standard,656,FF_FB_broad,1.0,0.26303982734680176,0.3481177091598511,0.0004985947743989527,0.00010184468555962667,0.0036792592145502567,0.006713748909533024,0.022286543622612953,0.001497879158705473
standard,176,FF_FB_broad,1.0,0.22539183497428894,0.3897719085216522,0.00486766779795289,0.004698166623711586,0.0011692087864503264,0.0001299285067943856,1.3604594469070435,0.0006536658038385212
standard,1120,FF_FB_broad,1.0,0.41823866963386536,0.14699195325374603,0.001204608241096139,0.18874411284923553,0.21774853765964508,0.0002201697789132595,1.8342951536178589,1.3100637197494507
standard,1827,FF_FB_broad,1.0,0.5813407301902771,0.8609113693237305,0.05412607640028,0.06632735580205917,0.4722670018672943,0.4672659635543823,0.66688072681427,0.2678345739841461
standard,1424,FF_FB_broad,1.0,0.25430113077163696,0.026146508753299713,0.00011279577302047983,0.21374090015888214,0.004109925124794245,0.000595372635871172,0.0011231738608330488,0.013852985575795174
standard,832,FF_FB_broad,1.0,0.5764298439025879,0.20129114389419556,0.0001122477333410643,0.002814207226037979,0.0005096723907627165,0.04402594640851021,0.00015282690583262593,0.0031479152385145426
standard,640,FF_FB_broad,1.0,0.49469807744026184,0.5638851523399353,0.012582370080053806,0.25768446922302246,0.013010330498218536,0.6537343859672546,0.09074651449918747,0.00033065263414755464
standard,1076,FF_FB_broad,1.0,0.1412070393562317,0.015932489186525345,0.05796819552779198,0.4430856704711914,0.0007134914631024003,0.0013228657189756632,0.00026964631979353726,0.001965062925592065
standard,4,FF_FB_narrow_familiar,1.0,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5
standard,1941,FF_FB_narrow_familiar,1.0,0.8660652041435242,0.009030074812471867,0.014263443648815155,0.014622834511101246,0.2466832548379898,2.0,0.23888646066188812,1.0179613828659058
standard,2049,FF_FB_narrow_familiar,1.0,0.9419184327125549,0.013789501041173935,0.01736212708055973,0.007638305891305208,0.30710679292678833,1.434383511543274,0.15571223199367523,2.0
standard,1453,FF_FB_narrow_familiar,1.0,0.4102779030799866,0.00010311523510608822,0.00040847324999049306,0.0003328018938191235,0.07452443987131119,0.11847995221614838,0.0003615373279899359,0.055865660309791565
standard,584,FF_FB_narrow_familiar,1.0,1.2061448097229004,0.11172222346067429,0.001899327035062015,0.02977355569601059,0.9800432920455933,0.1174006313085556,0.02261863648891449,0.04535378888249397
standard,1949,FF_FB_narrow_familiar,1.0,0.763527512550354,0.0049568354152143,0.027551311999559402,0.007272354327142239,0.12365217506885529,1.0359495878219604,0.09938708692789078,0.7867876291275024
standard,1801,FF_FB_narrow_familiar,1.0,0.5548746585845947,0.41939422488212585,0.029015427455306053,0.015597676858305931,0.4042457938194275,0.4493660628795624,0.3888438940048218,0.5560085773468018
standard,1133,FF_FB_narrow_familiar,1.0,0.32710957527160645,0.0020375342573970556,0.0003355745575390756,0.05776149034500122,0.014026006683707237,0.0006608337280340493,0.0001008333420031704,0.2890963852405548
standard,333,FF_FB_narrow_familiar,1.0,0.4983063340187073,0.00025016249855980277,0.010468393564224243,0.00010775207192637026,0.00034866202622652054,0.0002539349370636046,0.2356792539358139,0.015243793837726116
standard,1866,FF_FB_narrow_familiar,1.0,0.8723329305648804,0.29821518063545227,0.030358079820871353,0.1029932051897049,0.38679420948028564,0.4177805185317993,0.5101085305213928,0.7376441955566406
